id,passenger_id,flight_id,fare_class,purchase_channel,seat_zone,ticket_price,ancillaries_spend
222,1765,262,3,0,1,1831.31,27.0
223,1475,565,3,0,0,1818.84,63.49
224,565,144,0,3,0,93.54,32.86
225,416,640,2,0,0,1654.93,57.23
226,1209,363,0,3,0,524.52,49.53
227,1245,622,1,3,0,186.99,37.95
228,395,348,1,1,1,225.67,26.06
229,1439,538,1,0,0,161.07,45.63
230,19,578,0,4,0,1100.6,0.0
231,151,654,0,0,0,90.26,61.43
232,1046,296,1,1,0,201.82,73.37
233,1478,38,0,0,2,147.96,9.22
234,1597,570,3,0,2,3139.52,33.39
235,1370,7,3,0,0,2488.23,23.48
236,779,377,1,0,0,131.47,18.64
237,1783,10,2,2,2,237.56,38.15
238,1187,511,0,1,1,604.95,44.08
239,875,153,1,3,0,787.5,94.38
240,1759,573,1,0,1,491.76,26.09
241,1533,223,2,1,0,233.67,99.69
242,403,63,0,0,2,151.41,19.52
243,1233,192,1,0,0,221.79,37.25
244,914,89,0,1,0,936.63,19.42
245,854,351,0,0,0,510.24,19.59
246,943,500,0,1,0,96.57,29.32
247,9,231,3,0,0,355.95,17.88
248,494,56,0,4,0,492.94,13.62
249,257,113,1,0,0,377.3,14.6
250,158,7,1,4,0,1404.68,13.7
251,90,708,2,4,0,246.98,20.23
252,39,645,1,0,2,210.98,67.85
253,192,626,3,1,2,1992.91,71.21
254,954,468,2,4,2,1510.81,87.13
255,156,481,0,0,1,111.87,38.96
256,931,401,3,3,2,415.15,28.1
257,1318,514,1,0,0,353.77,12.6
258,765,249,0,4,0,151.4,113.26
259,378,25,1,3,0,1462.85,68.01
260,1690,379,1,1,0,356.25,15.84
261,454,310,0,2,0,179.02,32.67
262,1607,241,2,1,0,224.89,13.82
263,1716,484,0,4,0,107.62,17.15
264,188,417,1,1,0,331.15,16.11
265,1067,472,2,0,0,155.35,83.44
266,761,21,0,0,0,891.28,47.94
267,455,151,1,2,1,173.83,12.16
268,34,565,0,3,2,791.08,6.03
269,1767,626,3,2,2,1991.24,45.98
270,1204,657,2,0,0,1708.64,35.89
271,1117,323,0,1,1,511.87,26.48
272,10,379,1,1,0,344.45,83.92
273,1229,149,2,1,0,538.14,16.1
274,404,116,0,0,1,873.61,45.09
275,946,296,1,0,0,187.64,73.71
276,1335,272,0,3,1,67.08,31.68
277,1262,111,0,0,1,580.84,4.84
278,730,7,3,0,0,2491.76,26.77
279,1122,337,0,3,0,144.09,94.69
280,1117,323,0,1,0,504.29,30.4
281,1560,8,1,3,2,189.03,53.05
282,1339,607,1,2,2,994.87,42.88
283,837,35,2,3,2,356.27,129.14
284,921,410,0,1,0,137.73,0.0
285,624,57,0,0,1,218.13,37.07
286,1178,470,1,4,0,885.82,13.21
287,1491,435,1,2,0,1301.38,62.44
288,736,121,1,2,0,1297.16,68.43
289,1094,477,1,0,0,395.17,49.99
290,1111,255,1,1,1,470.88,32.83
291,1530,604,1,0,0,465.01,5.62
292,1709,361,1,0,1,292.83,33.79
293,674,639,2,0,1,1987.17,43.79
294,1129,61,2,1,0,234.83,6.12
295,894,422,0,0,0,318.47,16.26
296,1115,12,0,1,1,178.58,83.08
297,41,587,0,2,1,115.43,10.74
298,1334,216,0,0,0,203.22,33.76
299,230,25,0,1,2,1276.01,51.82
300,617,386,2,0,1,663.92,26.16
301,1305,303,3,1,1,675.08,54.52
302,757,404,0,0,1,579.59,6.9
303,567,167,0,1,1,868.55,68.11
304,712,402,2,3,0,280.15,1.14
305,77,107,0,1,0,105.95,107.57
306,38,95,0,4,2,124.62,87.9
307,759,232,2,0,0,212.85,35.44
308,35,625,1,3,0,672.41,16.27
309,1771,103,0,1,0,216.58,43.85
310,1483,452,0,3,2,331.04,39.29
311,762,242,1,3,1,270.55,2.5
312,705,221,0,3,0,1072.91,45.48
313,1491,435,2,2,1,2112.01,42.98
314,1574,361,0,0,1,140.15,18.95
315,1229,149,0,0,1,281.13,60.72
316,151,654,0,0,1,147.46,0.63
317,388,557,0,4,1,648.49,4.9
318,147,417,0,3,0,320.31,51.33
319,867,304,0,0,2,761.98,49.81
320,1515,686,0,1,2,147.23,49.05
321,1541,447,1,3,2,113.69,25.66
322,1368,240,0,0,0,446.46,51.14
323,199,552,0,2,0,106.75,15.45
324,1208,660,0,1,0,290.08,36.69
325,1681,517,0,0,0,649.38,34.92
326,624,57,1,0,1,419.9,83.16
327,402,265,2,0,0,1596.25,31.12
328,1030,14,0,0,0,237.54,29.25
329,318,77,1,0,0,384.83,1.27
330,1430,669,0,3,0,396.99,26.49
331,1759,573,0,0,0,335.33,58.66
332,709,612,3,0,1,984.27,76.67
333,1097,539,2,0,0,494.61,80.67
334,1509,288,0,0,1,134.49,39.48
335,699,114,1,3,0,936.38,13.41
336,1608,183,2,1,0,508.72,104.9
337,734,4,0,4,0,181.67,7.65
338,1780,66,0,3,1,638.74,32.09
339,1268,607,0,0,0,656.24,29.46
340,354,349,3,2,1,351.65,52.76
341,129,653,1,3,0,192.6,7.94
342,1633,248,2,1,1,306.93,16.13
343,1578,253,2,0,0,778.85,84.79
344,61,541,1,2,1,375.38,27.74
345,1344,464,0,1,1,204.14,14.72
346,1540,275,0,0,1,136.71,45.55
347,626,544,0,4,0,393.66,40.31
348,828,274,0,3,2,349.38,64.41
349,1372,452,0,1,1,298.85,13.81
350,1031,282,2,1,1,1147.23,29.48
351,1290,385,0,2,1,330.25,33.89
352,387,583,3,4,0,1839.01,13.29
353,932,493,3,0,0,652.44,49.88
354,1208,660,3,0,2,1075.49,69.96
355,1090,501,0,4,1,297.52,21.21
356,1455,512,2,3,0,1029.46,7.22
357,985,283,0,0,0,317.19,14.64
358,794,665,0,3,1,340.52,25.9
359,402,265,2,1,0,1622.91,28.5
360,1209,363,0,3,0,543.31,23.44
361,1111,255,1,0,0,421.9,36.41
362,792,482,3,0,1,301.46,27.53
363,152,682,0,3,0,330.44,35.79
364,578,470,0,3,0,597.82,6.23
365,41,587,0,3,1,136.91,2.94
366,1422,217,1,0,0,212.66,34.19
367,309,706,3,1,0,389.56,79.54
368,232,138,0,4,1,1005.41,74.24
369,1703,399,1,0,0,1256.48,11.89
370,1022,189,0,4,0,537.35,22.55
371,471,485,0,2,1,1006.35,26.35
372,1285,566,2,4,0,271.24,33.29
373,965,612,1,3,0,509.25,124.58
374,1746,367,2,0,0,489.43,33.88
375,1151,160,0,1,1,957.6,24.08
376,1788,192,0,2,0,135.01,7.93
377,922,421,1,2,0,179.81,47.18
378,1612,17,1,0,0,435.09,49.8
379,1260,581,0,1,2,313.77,44.24
380,1127,685,0,2,0,132.35,42.04
381,688,395,0,3,1,114.1,73.85
382,1786,692,1,1,1,868.13,13.89
383,1696,193,1,1,0,151.64,5.17
384,951,584,2,0,1,1861.66,90.05
385,1204,657,1,3,2,1529.59,26.36
386,758,456,0,1,1,294.79,10.75
387,937,449,2,2,0,597.0,25.72
388,456,167,0,0,2,1066.45,62.22
389,742,148,0,4,1,133.35,8.27
390,1448,77,1,3,2,474.25,45.32
391,490,514,2,0,0,532.31,10.74
392,210,6,1,2,1,1450.26,62.52
393,1794,484,0,2,2,161.96,87.35
394,192,626,1,0,1,836.77,59.56
395,252,362,0,0,0,117.95,26.18
396,1542,214,1,3,1,435.06,27.18
397,716,181,1,0,1,192.62,92.76
398,1702,515,2,3,0,658.72,102.97
399,158,7,0,4,0,994.23,12.97
400,1672,572,1,1,1,172.42,17.46
401,1507,31,0,3,1,150.88,102.49
402,835,640,0,0,2,1025.16,52.03
403,966,208,0,0,0,519.34,44.1
404,1467,429,0,0,0,384.62,155.29
405,411,644,0,3,0,321.97,1.9
406,855,213,3,0,0,1443.81,109.7
407,9,231,2,0,0,267.62,52.0
408,1321,14,2,1,0,539.67,28.14
409,318,77,1,4,0,442.26,38.85
410,1434,622,1,3,0,170.57,85.25
411,1503,554,1,2,1,456.14,23.38
412,912,380,1,3,2,1059.96,4.71
413,1237,438,0,2,1,996.41,134.96
414,224,141,1,0,0,173.49,33.72
415,1381,136,0,0,0,265.38,6.56
416,1628,716,1,0,0,810.94,4.44
417,187,615,1,2,0,1200.36,17.26
418,430,5,0,0,1,547.6,21.44
419,994,407,2,3,0,1575.98,72.0
420,830,27,0,3,2,245.98,37.3
421,1409,47,1,0,1,208.57,31.32
422,499,133,1,1,0,474.66,18.89
423,1430,669,1,4,2,790.07,5.89
424,870,385,1,0,0,411.22,32.94
425,122,390,0,1,1,320.48,50.72
426,450,459,1,0,0,170.43,63.34
427,1257,562,0,2,0,64.89,46.1
428,1719,99,0,2,1,152.04,0.0
429,625,264,1,2,0,183.1,87.36
430,314,108,0,1,2,331.73,21.68
431,347,373,2,1,1,608.9,80.88
432,386,185,2,1,0,321.5,75.5
433,586,534,2,0,0,560.25,60.59
434,434,166,1,3,0,776.76,51.32
435,949,344,3,1,2,3719.09,65.12
436,233,350,0,0,0,282.95,12.16
437,348,587,0,0,0,90.17,83.63
438,1645,698,1,0,0,1204.04,24.07
439,1628,716,2,3,2,1582.26,49.54
440,417,192,2,3,0,270.76,44.89
441,1409,47,2,2,0,265.24,29.48
442,538,638,2,0,0,1864.08,67.56
443,1762,52,2,0,0,503.69,33.87
444,955,231,0,0,0,137.48,35.14
445,745,177,1,4,1,487.91,88.74
446,1478,38,2,3,0,296.16,21.17
447,477,175,1,3,0,1445.81,7.39
448,737,231,1,0,0,192.01,99.65
449,1347,715,0,0,0,101.51,19.62
450,403,63,0,3,1,99.2,6.23
451,1792,701,1,2,0,1214.64,4.74
452,1506,655,0,0,0,846.45,14.74
453,405,62,0,1,1,507.9,10.81
454,202,239,1,2,0,184.94,68.24
455,1351,519,2,3,0,574.19,7.91
456,580,266,1,0,0,110.65,26.51
457,546,296,0,1,0,114.04,42.54
458,1669,597,0,3,0,624.72,105.79
459,1236,383,0,2,0,363.67,4.19
460,829,474,2,0,0,581.61,14.4
461,617,386,2,2,1,650.9,11.24
462,946,296,2,4,0,311.99,17.96
463,1113,22,2,0,1,2286.89,11.99
464,1703,399,0,1,0,859.91,115.28
465,332,12,2,2,1,264.32,63.04
466,11,25,2,2,0,2018.24,70.78
467,401,656,0,0,1,259.31,19.17
468,426,208,1,1,0,815.91,41.75
469,102,361,3,2,0,435.48,25.72
470,1058,322,1,1,2,540.49,27.11
471,211,16,1,2,0,393.21,17.51
472,784,593,1,2,0,143.14,0.13
473,662,466,1,3,0,346.81,30.58
474,134,292,0,3,0,850.66,12.84
475,1298,619,1,0,1,153.97,51.49
476,1331,498,0,2,1,134.66,2.39
477,1205,609,3,3,0,938.11,215.41
478,1472,489,1,2,0,177.57,1.59
479,1075,57,1,3,0,425.38,22.77
480,1185,563,3,2,1,402.31,20.79
481,1369,633,0,0,0,280.32,35.39
482,1418,100,0,3,1,199.87,0.0
483,986,139,3,1,2,420.31,25.37
484,831,3,2,2,0,1085.07,21.63
485,543,480,1,2,1,155.09,25.04
486,1297,278,1,0,0,833.81,40.27
487,1560,8,1,4,0,194.41,10.88
488,685,97,0,0,0,140.99,24.65
489,821,91,2,0,2,2480.16,34.73
490,200,494,0,4,0,147.7,28.6
491,546,296,0,0,1,133.43,28.86
492,1765,262,2,1,2,1435.83,15.4
493,1453,208,0,0,0,592.92,30.19
494,35,625,1,0,0,618.0,46.34
495,735,448,0,1,0,61.2,38.17
496,494,56,0,3,0,483.9,18.11
497,942,153,3,0,0,1568.97,24.23
498,1627,61,0,4,2,79.0,30.28
499,184,410,2,3,0,241.45,28.24
500,511,132,0,1,1,299.87,8.66
501,1658,468,0,0,2,627.79,38.84
502,153,270,1,1,1,208.61,53.51
503,900,191,0,4,0,1191.55,52.27
504,270,698,1,4,0,1414.26,62.21
505,191,147,2,0,0,211.14,5.27
506,92,169,2,2,1,227.43,176.05
507,1626,488,1,1,0,300.53,21.85
508,20,466,0,2,0,199.38,25.24
509,82,129,1,2,1,158.53,51.95
510,1707,546,0,2,0,108.85,30.49
511,280,559,2,4,0,609.83,98.25
512,952,497,0,0,2,726.88,46.75
513,621,458,3,0,0,812.21,6.17
514,1591,61,2,1,0,226.66,23.2
515,1765,262,2,1,0,1140.26,9.08
516,783,448,0,3,0,119.59,43.01
517,607,167,2,4,2,2364.44,6.89
518,1547,20,2,1,0,2081.67,36.0
519,623,344,0,2,1,1044.61,43.99
520,1621,234,1,3,0,1329.26,72.68
521,697,343,0,2,2,1219.6,27.28
522,505,138,0,2,2,964.93,61.37
523,376,108,0,0,0,213.51,21.27
524,1141,619,0,0,1,142.89,81.04
525,1051,539,0,0,0,179.85,57.3
526,987,188,0,0,0,124.56,65.32
527,1301,552,2,1,1,274.61,50.51
528,1640,18,1,3,0,204.85,3.54
529,95,392,1,2,1,141.12,78.89
530,1504,12,0,4,0,51.31,79.9
531,821,91,0,3,0,1028.62,27.48
532,1093,84,2,3,0,247.12,82.26
533,1556,228,2,0,1,249.73,43.1
534,792,482,2,1,0,156.09,19.06
535,937,449,3,4,1,1079.96,25.44
536,527,251,0,3,1,960.6,36.77
537,1426,369,2,1,2,260.24,17.97
538,1440,524,1,1,2,906.03,10.94
539,960,284,1,0,0,238.61,73.89
540,538,638,1,1,0,1285.67,12.34
541,383,387,1,1,0,405.06,37.75
542,230,25,1,0,0,1396.86,15.98
543,291,226,2,3,1,2071.77,77.79
544,70,386,1,1,2,386.34,6.5
545,755,613,0,0,1,246.73,20.19
546,1573,504,0,1,0,911.86,79.94
547,780,475,1,0,1,405.37,9.24
548,498,505,1,0,1,498.35,54.59
549,342,618,1,2,0,874.64,13.02
550,1602,387,0,1,0,330.63,43.13
551,1002,708,3,2,1,347.34,36.43
552,1753,603,0,2,0,262.82,64.36
553,641,242,1,0,0,149.98,25.17
554,375,443,1,1,1,376.34,41.54
555,1550,394,2,3,0,269.74,51.01
556,793,147,3,0,0,275.0,14.05
557,1639,651,0,0,0,127.71,55.13
558,1418,100,2,1,0,272.22,13.19
559,1453,208,1,4,0,992.49,11.74
560,1375,365,1,2,0,488.78,55.99
561,872,307,2,3,0,234.87,36.41
562,1772,178,0,2,0,522.97,17.3
563,1216,116,2,4,0,1910.63,92.25
564,1350,149,0,0,0,239.88,42.39
565,284,56,2,2,1,1040.99,47.28
566,1277,475,3,3,0,817.91,60.04
567,1150,183,1,1,1,383.18,31.85
568,996,97,0,3,0,115.43,34.9
569,1337,45,0,1,1,125.84,41.72
570,1198,694,0,3,0,77.73,70.85
571,427,385,2,0,0,564.24,40.71
572,1691,65,0,0,2,628.96,21.89
573,544,4,2,0,1,244.6,21.39
574,47,355,0,1,0,152.82,16.08
575,986,139,0,1,1,126.82,50.08
576,739,521,1,0,1,458.43,43.28
577,1205,609,0,3,1,281.75,36.8
578,793,147,3,3,2,408.38,101.67
579,44,24,0,3,2,389.01,132.95
580,1202,445,1,0,1,923.14,1.74
581,920,667,1,1,0,156.2,2.43
582,689,678,0,1,0,209.39,19.21
583,113,358,3,1,0,2656.09,21.79
584,151,654,0,0,2,101.8,57.33
585,784,593,0,1,0,54.42,23.31
586,17,607,0,3,1,704.46,101.68
587,1487,100,0,0,2,106.45,15.38
588,1271,217,3,0,1,403.2,57.0
589,589,587,0,3,1,135.56,30.69
590,712,402,3,1,0,380.81,49.89
591,936,693,0,0,0,236.58,49.21
592,1560,8,2,3,2,290.25,42.61
593,1728,616,2,0,2,321.16,26.86
594,1318,514,0,1,1,245.93,33.16
595,953,409,0,2,0,214.68,2.93
596,803,91,0,0,0,972.35,43.75
597,1475,565,1,1,1,956.76,23.38
598,417,192,2,3,1,332.21,6.35
599,1457,301,0,3,0,296.47,22.43
600,329,507,1,2,2,249.54,73.48
601,1375,365,0,0,0,327.13,15.01
602,1362,251,0,0,0,900.56,13.77
603,1135,566,0,3,1,169.51,59.51
604,746,45,0,0,1,153.83,8.43
605,184,410,2,0,2,174.27,27.56
606,234,629,0,0,2,149.96,29.56
607,1054,518,0,1,1,131.76,24.68
608,909,588,0,4,0,623.71,138.71
609,1630,143,0,0,0,533.05,27.99
610,1735,111,0,4,0,620.0,113.44
611,298,593,1,2,1,113.71,43.86
612,498,505,1,1,1,551.63,35.86
613,164,290,3,2,0,690.53,46.48
614,1686,282,1,4,1,858.3,37.94
615,4,308,0,1,1,288.95,35.21
616,381,696,1,1,1,169.3,38.7
617,250,488,0,1,0,203.37,90.68
618,1694,635,0,3,0,567.15,31.18
619,1396,50,0,0,0,100.13,13.37
620,95,392,3,1,0,322.8,54.68
621,786,98,0,0,1,513.76,29.81
622,1615,326,0,2,0,171.48,108.8
623,1578,253,1,1,0,555.74,11.51
624,853,316,2,3,0,232.26,85.1
625,1559,303,0,3,1,267.57,42.22
626,561,46,2,1,2,1454.6,37.59
627,1372,452,0,1,1,254.2,20.53
628,496,406,1,2,2,870.1,35.4
629,1160,355,1,2,0,191.13,37.61
630,828,274,1,3,0,406.01,42.09
631,691,467,3,0,2,3310.78,126.81
632,1740,681,0,1,1,124.27,50.29
633,286,536,0,2,0,243.59,96.08
634,1433,282,0,2,0,508.7,30.32
635,926,599,0,1,1,1022.74,66.89
636,1203,509,2,1,2,322.28,38.97
637,236,384,0,3,0,125.32,42.83
638,1110,503,1,2,1,225.05,17.57
639,1550,394,1,0,0,145.5,12.01
640,1046,296,0,3,0,152.64,46.06
641,1529,324,2,1,1,250.31,48.96
642,1265,67,0,3,1,154.45,96.53
643,60,56,1,1,1,797.47,19.58
644,1278,638,0,1,0,1019.23,6.06
645,311,457,0,3,2,271.62,8.23
646,613,126,0,3,0,101.07,14.05
647,498,505,2,1,2,823.23,37.52
648,374,417,1,1,2,394.53,102.04
649,328,180,0,2,2,120.54,36.86
650,1282,686,1,0,1,136.46,20.24
651,1265,67,0,3,1,94.7,56.07
652,58,135,2,1,2,2435.65,19.84
653,186,143,3,2,1,1745.18,15.55
654,1001,382,2,4,0,938.46,66.31
655,972,517,1,2,0,885.31,7.1
656,1793,588,0,0,1,632.5,36.31
657,1511,153,0,0,0,533.03,12.1
658,1327,701,0,2,0,789.5,12.03
659,385,53,0,3,1,1077.16,2.41
660,1514,720,2,1,0,204.69,23.52
661,1119,445,0,3,0,638.93,40.2
662,1188,678,1,4,1,479.98,18.8
663,1799,206,0,0,0,218.76,23.28
664,1611,129,3,3,1,221.21,47.35
665,1412,217,1,3,0,213.14,58.51
666,1053,268,0,0,0,95.81,7.66
667,768,369,0,1,1,118.59,36.01
668,918,663,0,2,1,254.02,2.16
669,1772,178,1,1,1,812.01,9.71
670,937,449,0,0,1,310.99,32.29
671,1214,605,0,1,2,964.63,12.48
672,667,467,2,0,0,2090.05,19.98
673,1572,78,1,0,0,1404.16,54.23
674,1098,658,0,3,2,332.93,0.0
