id,ticket_id,claim_type,claim_amount,resolved_days,fraud_flag,dispute_flag
62,1055,2,126.34,9,0,0
63,2749,0,1459.4,11,0,0
64,2113,1,87.44,8,0,0
65,2912,4,1319.28,14,0,0
66,86,2,41.47,1,0,0
67,1314,4,466.12,15,0,0
68,932,4,350.8,8,0,0
69,1206,2,431.47,12,0,0
70,1265,0,133.81,4,0,1
71,830,0,121.04,7,0,0
72,2200,0,98.43,15,0,0
73,2688,0,25.0,10,0,0
74,2611,1,332.77,4,0,0
75,915,0,760.96,7,0,0
76,1780,1,228.14,8,0,0
77,2985,1,266.33,3,0,0
78,392,0,596.35,14,0,0
79,552,0,124.18,2,0,0
80,910,2,454.68,6,0,0
81,2349,0,367.04,8,0,0
82,2867,0,225.46,6,0,0
83,1819,1,227.22,15,1,0
84,2197,2,170.47,10,0,0
85,911,0,498.88,8,0,0
86,1505,1,998.27,7,0,0
87,2696,0,155.86,7,0,0
88,1842,4,403.12,12,0,0
89,2877,2,952.06,8,0,0
90,978,4,519.57,17,0,0
91,2448,1,185.4,10,0,0
92,1599,2,152.59,13,0,0
93,1277,2,455.37,6,0,0
94,1568,4,88.28,10,0,0
95,1050,3,171.01,12,0,1
96,531,1,177.9,6,0,0
97,2767,1,42.57,8,0,0
98,1230,3,218.4,4,0,0
99,549,4,899.98,10,0,0
100,977,0,405.02,1,0,0
101,423,1,28.78,11,0,0
102,2796,3,120.11,11,0,0
103,1479,0,101.69,16,0,0
104,435,1,25.0,12,0,0
105,2038,0,97.33,6,0,0
106,454,4,110.36,15,0,0
107,335,3,485.33,12,0,0
108,319,2,892.3,13,0,0
109,80,2,337.28,8,0,0
110,1567,0,29.63,5,0,0
111,366,0,44.38,11,0,0
112,2445,4,190.61,10,0,0
113,825,0,336.07,14,0,1
114,1753,2,833.27,4,0,0
115,1087,1,1071.53,5,0,1
116,1204,1,154.48,10,0,1
117,2216,1,212.24,8,0,0
118,152,2,43.47,4,0,0
119,68,0,37.08,3,0,0
120,333,3,268.82,10,0,0
121,471,1,115.78,12,0,0
122,2410,3,949.18,10,0,0
123,1875,4,169.34,12,0,0
124,569,2,383.05,17,0,0
125,1708,0,286.16,10,0,0
126,468,0,643.6,2,0,0
127,1103,1,46.06,5,0,0
128,868,4,138.9,4,0,0
129,2685,1,58.88,7,0,0
130,2986,1,435.63,10,0,0
131,677,2,292.61,17,0,0
132,2803,1,246.82,6,0,0
133,2353,4,1112.41,11,0,0
134,2411,0,182.12,9,0,0
135,512,4,118.06,16,0,0
136,627,1,311.45,8,0,0
137,1961,0,309.53,5,0,0
138,575,3,300.49,7,0,0
139,2116,2,106.88,11,0,0
140,2977,3,223.21,9,0,0
141,1902,0,113.51,11,0,0
142,2022,0,133.55,5,0,0
143,516,3,130.12,11,0,0
144,1795,2,203.42,14,0,0
145,692,0,325.12,6,0,0
146,2854,0,56.41,14,0,0
147,906,0,129.33,12,0,0
148,2599,2,130.59,13,0,0
149,1720,1,25.0,8,0,0
150,945,0,224.29,2,0,1
151,740,3,33.99,6,0,0
152,2519,0,79.01,10,0,0
153,1783,3,1314.99,10,0,0
154,41,1,121.04,4,0,0
155,2311,0,236.65,1,0,0
156,2929,2,310.03,4,0,0
157,1288,4,145.37,10,0,0
158,1751,0,132.13,14,0,0
159,2539,0,159.07,6,0,0
160,2115,0,95.01,7,0,0
161,384,1,88.06,18,0,0
162,1549,1,82.43,5,0,0
163,1439,4,69.35,12,0,0
164,2583,3,118.6,8,0,0
165,2055,2,128.22,6,0,0
166,1545,3,110.08,4,0,0
167,1203,1,213.93,12,0,0
168,1036,2,117.92,9,0,0
169,876,0,95.03,7,0,0
170,525,0,244.49,6,0,0
171,2764,2,501.85,11,0,0
172,1078,1,412.85,1,0,1
173,1797,0,333.1,6,0,0
174,1243,3,190.34,12,0,1
175,1102,0,65.6,9,0,0
176,191,2,101.14,14,0,1
177,1460,3,421.45,7,0,1
178,912,0,112.75,8,0,0
179,617,0,265.89,5,0,0
180,1690,0,102.75,2,0,0
181,2381,2,53.48,1,0,0
182,2602,2,103.95,10,0,0
183,649,1,222.7,1,0,0
184,2408,2,81.65,13,0,0
185,949,2,81.18,1,0,0
186,2088,2,513.52,11,0,0
187,2502,0,55.72,7,0,0
188,2768,2,190.22,8,0,0
189,2089,0,94.52,10,0,1
190,649,4,346.5,12,0,0
191,642,1,312.16,10,0,0
192,2658,2,223.25,5,0,1
193,1697,2,130.08,11,0,0
194,429,0,144.12,9,0,0
195,2539,0,78.38,14,0,0
196,1510,3,71.93,12,0,1
197,1343,0,138.4,10,0,1
198,1240,0,59.76,8,0,0
199,1435,2,103.73,5,0,0
200,2095,0,68.4,4,0,0
201,2270,1,110.9,3,0,0
202,2949,0,330.85,9,0,0
203,2406,4,289.09,19,0,0
204,493,4,36.09,12,0,0
205,1396,2,147.51,3,0,0
206,2679,1,74.58,4,0,0
207,1765,4,977.15,22,0,0
208,2494,0,25.0,6,0,0
209,1333,0,49.63,2,0,0
210,570,0,96.54,6,0,0
211,183,0,56.45,13,0,0
212,2954,0,141.29,7,0,0
213,1523,0,219.14,9,0,0
214,547,2,108.62,5,0,0
215,506,4,46.82,14,0,0
216,1097,2,1042.68,9,0,0
217,2592,1,491.85,8,0,0
218,2834,4,400.38,13,0,0
219,2498,2,72.49,20,0,0
220,996,0,284.84,8,0,0
221,997,1,285.17,8,0,0
222,256,1,195.68,3,0,0
223,502,3,132.38,6,0,0
224,1710,2,110.55,10,0,0
225,2463,0,153.15,4,0,0
226,2132,1,296.87,1,0,0
227,2817,3,32.04,4,0,0
228,1000,1,273.11,11,0,0
229,81,0,148.62,3,0,0
230,1905,1,287.52,9,0,0
231,2521,0,355.52,8,0,0
232,3000,0,331.21,9,0,0
233,109,1,115.07,8,0,0
234,2134,0,225.79,11,0,0
235,2063,0,319.57,12,0,0
236,1672,0,229.16,13,0,0
237,62,2,473.88,10,0,0
238,1560,1,40.5,8,0,0
239,1810,1,323.51,5,0,0
240,2324,0,402.24,7,0,1
241,1602,0,170.76,10,0,1
242,937,4,283.85,9,0,0
243,2136,4,374.91,21,0,0
244,286,1,25.0,10,0,0
245,1686,0,435.77,9,0,1
246,2909,1,702.02,10,0,0
247,2033,0,182.32,7,0,0
248,1046,3,180.43,6,0,0
249,2211,0,449.37,11,0,0
250,1604,2,351.86,5,0,0
251,110,2,81.19,10,1,1
252,26,1,103.12,8,0,0
253,2100,1,116.34,10,0,0
254,343,0,149.06,10,0,0
255,1650,2,361.28,5,0,0
256,30,4,275.91,13,0,0
257,1609,0,89.06,10,0,0
258,2123,4,44.8,10,0,0
259,1819,1,119.79,10,0,0
260,1556,0,83.59,4,0,0
261,2759,3,1166.89,11,0,0
262,39,0,1650.06,4,0,0
263,1243,0,46.73,9,0,0
264,430,4,397.28,5,0,0
265,2352,0,544.1,7,0,0
266,1857,1,33.39,8,0,0
267,296,1,41.57,5,0,1
268,1534,0,113.83,7,0,0
269,2367,1,99.01,11,0,0
270,868,3,211.02,8,0,0
271,1200,0,1325.64,10,0,0
272,595,3,220.3,10,0,0
273,2788,0,27.15,16,0,0
274,368,1,443.08,10,0,0
275,829,0,93.59,10,0,0
276,279,1,1411.07,11,0,0
277,1233,1,594.69,13,0,0
278,2774,1,165.91,14,0,0
279,1369,0,43.53,10,0,0
280,1591,0,98.41,11,0,0
281,2585,0,186.97,4,0,0
282,2193,0,181.67,9,0,0
283,625,1,105.29,15,0,0
284,1148,2,121.13,7,0,1
285,1995,1,58.66,7,0,0
286,1563,0,882.01,8,0,0
287,1769,2,518.36,6,0,0
288,519,3,213.43,13,0,0
289,725,3,96.02,8,0,0
290,2500,1,97.79,14,0,0
291,844,0,25.39,6,0,0
292,2895,1,309.96,13,0,0
293,1375,1,261.93,10,0,0
294,2657,0,617.82,3,0,0
295,871,0,33.73,3,0,0
296,2987,0,484.55,12,0,0
297,472,1,46.23,13,0,0
298,1435,0,204.66,15,0,0
299,2793,0,128.53,3,0,0
300,2024,0,192.04,12,0,0
301,2527,0,212.73,7,0,0
302,2173,0,36.66,5,0,1
303,1382,1,314.06,11,0,1
304,2005,3,59.09,7,0,0
305,1085,1,250.06,7,0,0
306,2639,0,103.87,9,0,0
307,990,3,221.27,7,0,0
308,88,1,126.84,9,0,0
309,1946,0,49.23,11,0,0
310,2921,0,123.96,1,0,0
311,435,0,197.48,4,0,0
312,307,0,172.32,6,0,0
313,303,1,25.0,12,0,0
314,2194,0,131.17,11,0,0
315,279,3,255.51,7,1,0
316,1073,0,25.0,10,0,1
317,2459,0,111.77,8,0,0
318,1797,4,346.99,17,0,0
319,96,2,493.4,9,0,0
320,1557,1,87.59,7,0,0
321,2222,0,179.56,2,0,0
322,794,0,26.25,9,0,0
323,2973,1,276.53,8,0,0
324,2001,0,124.22,9,0,0
325,2152,1,146.02,10,0,0
326,1859,3,961.79,12,0,0
327,1266,2,135.77,12,0,0
328,1341,1,110.24,5,0,1
329,1046,1,132.46,7,0,0
330,1336,0,129.53,9,0,0
331,2645,1,391.32,10,0,1
332,2321,2,34.57,8,0,0
333,969,0,158.47,3,0,0
334,1713,3,541.01,5,0,0
335,211,0,147.2,6,0,0
336,2048,3,81.6,5,0,0
337,1904,4,290.01,14,0,0
338,1395,0,127.55,7,0,0
339,94,0,90.87,12,0,0
340,661,4,1369.98,11,0,1
341,1050,0,28.16,7,0,0
342,2322,2,1265.02,10,0,0
343,296,3,82.42,11,1,0
344,1793,0,28.6,4,0,0
345,1922,0,81.95,8,0,1
346,2933,1,2417.02,16,0,0
347,576,0,135.65,9,0,0
348,2648,1,131.11,5,0,0
349,59,0,165.63,2,0,0
350,2621,1,124.5,12,0,0
351,2642,0,134.1,5,0,0
352,448,2,88.92,8,0,0
353,109,3,337.78,4,0,0
354,1552,1,74.7,7,0,0
355,1990,0,421.15,5,0,0
356,2736,0,750.52,6,0,1
357,1785,4,176.44,19,0,0
358,1084,2,349.93,3,0,0
359,403,0,192.22,13,0,0
360,2394,1,203.24,7,0,0
361,2707,3,214.99,15,0,0
362,14,3,1095.47,11,0,0
363,2153,0,207.14,9,0,1
364,1582,1,736.05,10,0,0
365,1547,2,184.52,9,0,0
366,2170,0,343.0,4,0,0
367,1583,1,74.81,9,0,0
368,2023,1,202.24,10,0,0
369,2185,4,302.72,14,0,0
370,652,0,211.68,10,0,0
371,267,0,88.06,10,0,0
372,2686,3,407.09,9,0,0
373,20,4,275.26,18,0,0
374,1386,2,270.08,5,0,0
375,1584,3,84.11,5,0,0
376,1370,3,457.81,9,0,0
377,1474,1,174.23,9,0,0
378,1510,1,290.28,8,0,0
379,1114,3,36.15,6,0,0
380,322,0,189.64,8,0,0
381,2672,1,635.12,7,0,0
382,8,2,25.0,11,0,0
383,2046,0,194.18,6,0,0
384,182,0,206.66,9,0,0
385,2837,0,333.75,11,0,0
386,2035,1,32.19,7,0,1
387,2226,3,253.17,7,0,0
388,2015,1,113.13,11,0,0
389,56,0,25.0,4,0,0
390,1892,2,1929.52,2,0,0
391,684,3,55.77,10,0,0
392,2661,3,43.77,5,0,0
393,1947,0,67.73,10,0,0
394,1678,0,119.66,3,0,1
395,2009,1,45.55,6,0,0
396,1747,2,44.73,9,0,0
397,393,1,99.09,8,0,0
398,2681,0,40.1,13,0,0
399,2909,0,521.81,11,0,0
400,312,1,71.35,10,0,0
401,2768,2,42.67,10,0,0
402,1240,1,129.73,10,0,0
403,94,3,486.55,4,0,0
404,2459,4,153.95,16,0,0
405,1719,1,663.01,6,0,0
406,2383,0,80.12,13,0,0
407,2364,0,1287.16,15,0,0
408,1415,2,51.79,7,0,0
409,386,1,347.34,3,0,0
410,1330,2,288.89,11,0,0
411,2511,1,372.41,5,0,0
412,2840,0,145.63,4,0,0
413,2143,1,132.57,10,0,0
414,500,4,44.9,15,0,0
415,85,2,805.28,7,0,0
416,819,4,40.71,10,0,0
417,922,0,493.63,9,0,0
418,2102,2,574.31,8,0,0
419,2420,1,261.02,11,0,0
420,4,3,307.46,4,0,0
