id,origin_airport_id,destination_airport_id,distance,departure_hour,airline_code,congestion,weather_risk,is_delayed
175,5,9,4481.3,21,4,0.092,0.146,0
176,5,4,278.3,12,0,0.157,0.13,0
177,4,2,1030.8,20,0,0.407,0.179,0
178,1,2,2430.0,19,2,0.042,0.248,0
179,5,1,4351.3,19,2,0.134,0.433,0
180,1,2,325.0,21,0,0.191,0.037,0
181,9,5,360.4,11,3,0.331,0.104,0
182,4,8,425.7,11,0,0.355,0.315,0
183,1,4,1059.2,8,2,0.284,0.145,0
184,4,6,2319.2,19,2,0.386,0.23,0
185,1,2,445.2,7,4,0.488,0.668,0
186,7,1,318.6,7,1,0.254,0.193,0
187,9,4,291.7,19,1,0.078,0.305,0
188,5,3,394.4,9,3,0.198,0.063,0
189,7,6,2218.6,20,2,0.174,0.253,0
190,1,3,1110.1,16,4,0.416,0.108,0
191,4,7,4746.1,11,4,0.144,0.275,0
192,4,2,377.3,20,0,0.466,0.409,0
193,2,11,279.4,22,0,0.25,0.055,0
194,7,4,363.5,7,5,0.091,0.258,0
195,1,3,315.7,10,4,0.46,0.181,0
196,4,2,433.3,7,2,0.353,0.363,0
197,3,6,217.3,21,0,0.044,0.242,0
198,1,3,1066.3,7,3,0.367,0.252,0
199,4,3,2594.5,9,0,0.582,0.099,0
200,8,9,2832.1,15,4,0.126,0.078,0
201,3,2,4417.9,19,0,0.137,0.64,1
202,3,2,4009.2,11,0,0.16,0.089,1
203,7,1,997.4,19,0,0.205,0.265,0
204,2,5,1364.5,18,5,0.422,0.251,0
205,1,8,3778.8,13,3,0.15,0.11,0
206,3,5,1145.3,12,3,0.342,0.157,0
207,7,6,982.5,15,1,0.055,0.599,0
208,8,5,2590.7,9,2,0.304,0.401,0
209,2,6,217.3,12,3,0.244,0.412,0
210,6,1,1435.0,8,1,0.194,0.093,0
211,10,2,315.8,13,4,0.305,0.009,0
212,3,4,4572.6,8,1,0.451,0.241,0
213,1,5,2226.2,19,0,0.221,0.018,0
214,1,9,1070.2,7,2,0.277,0.155,0
215,5,6,1399.7,17,7,0.182,0.15,0
216,2,6,1065.4,6,1,0.387,0.284,0
217,3,9,377.7,9,2,0.23,0.335,0
218,1,2,2498.8,19,3,0.038,0.132,0
219,1,5,322.6,11,1,0.253,0.1,0
220,3,6,1882.2,9,2,0.315,0.229,0
221,1,2,4736.3,10,0,0.157,0.243,0
222,5,2,4242.1,19,5,0.189,0.175,0
223,6,1,348.4,12,0,0.438,0.298,0
224,1,2,1268.4,16,0,0.282,0.254,0
225,2,8,3631.7,10,0,0.372,0.311,0
226,5,3,3883.0,17,0,0.283,0.134,0
227,3,9,210.7,3,7,0.18,0.173,0
228,4,1,333.9,18,4,0.251,0.106,0
229,10,5,1153.7,5,0,0.315,0.198,0
230,4,1,237.4,17,2,0.245,0.137,0
231,10,3,360.8,8,1,0.311,0.489,0
232,1,6,327.7,9,0,0.158,0.162,0
233,8,4,396.8,15,1,0.225,0.146,0
234,2,1,3946.7,14,0,0.414,0.185,1
235,3,4,1136.3,21,1,0.314,0.02,0
236,4,2,377.4,10,2,0.058,0.388,0
237,4,1,347.0,13,1,0.281,0.113,0
238,9,2,277.1,8,1,0.383,0.348,0
239,1,11,362.2,20,2,0.069,0.59,0
240,6,1,2251.6,5,1,0.352,0.15,0
241,1,2,269.2,6,0,0.079,0.026,0
242,2,1,444.6,13,2,0.353,0.032,0
243,5,4,234.2,18,1,0.49,0.232,0
244,1,2,361.1,16,1,0.364,0.122,0
245,6,7,1155.8,10,3,0.245,0.249,0
246,4,9,291.3,14,3,0.436,0.303,0
247,5,8,251.8,18,0,0.382,0.292,0
248,4,3,334.8,9,1,0.292,0.24,0
249,3,8,374.0,9,4,0.507,0.382,0
250,2,5,2477.5,10,1,0.068,0.076,0
251,2,1,4056.4,23,0,0.236,0.174,0
252,1,2,1149.3,16,0,0.109,0.055,0
253,4,3,1813.3,5,4,0.129,0.124,0
254,2,1,3039.4,8,0,0.292,0.415,0
255,1,8,1240.2,4,6,0.192,0.602,1
256,4,5,332.1,21,2,0.351,0.558,0
257,2,3,304.8,19,1,0.08,0.239,0
258,1,2,393.7,7,3,0.434,0.317,0
259,6,1,1161.2,17,1,0.111,0.298,0
260,6,4,3968.6,19,6,0.136,0.254,0
261,5,1,289.2,18,1,0.165,0.101,0
262,8,3,2412.5,18,5,0.356,0.252,0
263,2,8,4036.8,8,1,0.117,0.094,0
264,1,2,291.0,13,4,0.442,0.862,0
265,1,9,3597.6,11,2,0.127,0.294,0
266,1,5,267.0,12,5,0.261,0.122,1
267,7,8,316.1,19,0,0.194,0.393,0
268,4,5,258.9,11,0,0.066,0.392,0
269,5,7,2301.9,5,0,0.385,0.105,0
270,1,2,326.4,4,0,0.184,0.083,0
271,2,5,332.5,8,0,0.119,0.36,0
272,1,8,345.8,20,2,0.049,0.207,0
273,6,5,350.1,9,1,0.224,0.009,0
274,1,3,1075.1,21,1,0.357,0.21,0
275,6,2,390.4,10,1,0.078,0.262,0
276,2,6,1094.6,3,4,0.246,0.131,0
277,3,4,1070.8,9,3,0.258,0.209,0
278,1,4,2523.9,10,1,0.287,0.055,0
279,8,9,1223.9,14,0,0.469,0.078,0
280,1,2,2234.1,13,0,0.326,0.369,0
281,1,4,3858.3,8,2,0.069,0.173,0
282,4,5,2404.9,7,2,0.132,0.252,0
283,4,9,1255.2,10,0,0.271,0.109,0
284,3,2,470.3,22,0,0.144,0.271,0
285,2,1,1206.9,8,4,0.076,0.406,0
286,1,2,2428.4,7,2,0.361,0.389,0
287,1,2,2028.9,9,0,0.264,0.027,0
288,2,5,375.7,10,2,0.371,0.4,0
289,6,3,965.0,16,2,0.287,0.275,1
290,5,4,999.0,7,0,0.199,0.146,0
291,1,2,2668.3,18,0,0.083,0.511,0
292,4,8,4104.8,8,5,0.357,0.446,0
293,6,1,353.6,6,1,0.051,0.232,0
294,2,8,3954.6,1,1,0.365,0.123,0
295,1,7,1035.7,10,1,0.371,0.71,0
296,6,2,472.8,7,2,0.143,0.204,0
297,1,4,392.1,9,6,0.324,0.059,0
298,4,9,1043.9,13,2,0.25,0.323,0
299,2,3,1038.0,6,0,0.273,0.379,0
300,6,5,305.8,5,1,0.624,0.385,0
301,1,4,1101.3,8,1,0.095,0.163,0
302,8,1,954.1,6,0,0.314,0.093,0
303,2,4,787.0,16,0,0.394,0.297,0
304,2,3,2667.2,18,1,0.211,0.243,0
305,10,11,397.2,6,0,0.413,0.046,0
306,5,6,1206.2,11,4,0.263,0.144,0
307,7,8,281.4,11,2,0.322,0.15,0
308,3,7,1014.7,16,0,0.166,0.204,0
309,4,5,283.9,18,0,0.186,0.041,0
310,1,4,867.1,0,4,0.239,0.201,0
311,1,3,295.5,8,0,0.298,0.207,0
312,1,5,1282.6,17,1,0.121,0.167,0
313,4,3,981.1,21,3,0.18,0.4,0
314,1,5,2341.5,11,3,0.256,0.176,0
315,4,3,2731.1,16,0,0.032,0.213,0
316,11,1,237.2,5,1,0.138,0.239,0
317,2,7,2177.0,14,2,0.256,0.508,0
318,7,5,3896.4,8,1,0.372,0.405,1
319,8,2,4344.2,5,2,0.16,0.06,1
320,1,2,1267.1,20,2,0.025,0.221,0
321,7,8,4461.4,13,1,0.31,0.46,0
322,4,6,1194.0,7,3,0.037,0.143,0
323,8,9,2229.7,6,0,0.193,0.266,0
324,3,6,345.0,14,1,0.137,0.106,0
325,5,7,1163.7,9,3,0.243,0.327,0
326,2,10,349.2,10,2,0.369,0.258,0
327,2,1,1397.4,9,0,0.169,0.071,0
328,2,5,339.8,15,0,0.262,0.146,0
329,9,3,3323.7,12,3,0.099,0.056,0
330,1,3,2503.0,7,0,0.051,0.021,0
331,3,7,340.0,19,2,0.14,0.081,0
332,2,4,285.0,11,2,0.54,0.234,0
333,3,7,380.1,7,7,0.516,0.495,1
334,3,1,359.1,8,1,0.189,0.242,0
335,3,2,2375.4,9,0,0.359,0.177,0
336,3,6,973.4,8,3,0.102,0.247,1
337,3,1,349.0,6,2,0.23,0.424,1
338,6,2,435.5,7,2,0.212,0.195,0
339,1,4,259.2,22,6,0.102,0.68,0
340,2,4,987.7,13,4,0.371,0.221,0
341,3,2,1074.1,11,0,0.217,0.148,0
342,1,8,330.4,15,5,0.406,0.117,0
343,1,6,4493.1,19,2,0.141,0.384,0
344,8,2,4684.8,10,0,0.118,0.102,1
345,3,6,1222.9,17,3,0.318,0.363,1
346,1,3,396.8,21,1,0.492,0.291,0
347,5,7,1063.4,9,5,0.407,0.274,0
348,2,4,424.1,12,0,0.276,0.052,0
349,1,2,368.5,8,0,0.173,0.282,0
350,1,2,1199.7,9,1,0.42,0.177,0
351,1,2,2549.0,6,0,0.578,0.41,0
352,1,7,307.1,3,1,0.261,0.309,0
353,5,1,3443.8,17,2,0.265,0.294,0
354,1,3,961.0,9,2,0.13,0.113,0
355,3,10,396.0,13,1,0.291,0.371,0
356,1,8,2133.4,15,0,0.093,0.156,0
357,6,4,2377.9,5,2,0.299,0.671,0
358,6,1,4224.9,9,2,0.071,0.1,0
359,1,3,1151.5,15,1,0.304,0.004,0
360,3,1,1203.9,19,0,0.247,0.167,0
361,1,3,637.7,7,0,0.031,0.037,0
362,1,4,213.7,6,1,0.052,0.046,0
363,6,7,2373.0,10,2,0.069,0.134,0
364,2,8,1099.8,19,0,0.099,0.385,0
365,6,4,1284.6,15,1,0.05,0.196,0
366,4,1,4327.8,10,2,0.28,0.292,0
367,4,1,984.6,8,0,0.17,0.259,0
368,3,7,404.2,16,6,0.084,0.103,0
369,2,11,338.1,9,0,0.119,0.185,0
370,1,2,1124.5,10,2,0.082,0.087,0
371,2,6,1066.8,13,0,0.221,0.704,0
372,1,7,284.6,15,3,0.204,0.118,0
373,3,2,1208.5,8,1,0.224,0.103,0
374,3,2,1011.7,11,2,0.316,0.305,0
375,1,2,301.3,20,0,0.075,0.234,0
376,6,9,1185.0,12,0,0.11,0.182,0
377,1,4,230.5,5,0,0.419,0.113,0
378,6,10,348.9,13,1,0.077,0.208,0
379,4,10,868.8,7,4,0.31,0.061,0
380,1,2,2428.0,23,0,0.664,0.262,0
381,1,9,365.5,9,1,0.379,0.262,0
382,5,1,1801.4,11,6,0.183,0.352,0
383,5,8,1263.3,17,4,0.313,0.318,0
384,3,4,417.6,19,5,0.191,0.076,1
385,1,5,1160.8,14,1,0.247,0.419,0
386,4,6,1071.8,13,1,0.579,0.264,0
387,2,1,1294.0,19,6,0.599,0.189,0
388,6,1,364.3,20,4,0.169,0.194,0
389,1,4,359.8,10,0,0.471,0.318,0
390,2,1,1109.5,11,7,0.453,0.271,0
391,3,4,378.2,15,1,0.438,0.282,0
392,3,5,311.4,10,2,0.224,0.216,0
393,1,7,270.2,8,0,0.198,0.58,0
394,1,3,306.4,19,3,0.119,0.242,0
395,1,11,318.7,18,4,0.431,0.085,0
396,1,4,353.2,13,5,0.219,0.135,0
397,1,2,384.9,21,4,0.017,0.607,0
398,1,2,2363.5,7,1,0.395,0.006,0
399,2,9,4201.6,9,6,0.252,0.325,0
400,1,2,326.9,15,0,0.262,0.139,0
401,1,5,326.6,20,0,0.151,0.154,0
402,5,2,364.9,2,2,0.415,0.255,0
403,5,3,271.5,20,0,0.341,0.064,0
404,5,1,2484.5,14,0,0.525,0.261,0
405,8,4,1068.4,19,6,0.35,0.712,1
406,1,2,2454.0,14,0,0.072,0.147,0
407,6,10,3119.6,14,2,0.393,0.014,0
408,1,2,1262.8,14,4,0.152,0.191,0
409,4,2,1069.4,7,1,0.348,0.205,0
410,1,7,341.6,9,1,0.12,0.488,0
411,4,7,303.9,12,3,0.09,0.246,0
412,1,2,3941.6,12,0,0.544,0.409,0
413,1,4,1134.8,22,1,0.199,0.185,0
414,3,5,1251.6,11,0,0.266,0.168,0
415,8,6,1145.4,10,0,0.38,0.518,0
416,2,1,308.3,18,0,0.096,0.186,0
417,3,5,974.3,15,1,0.185,0.141,0
418,7,1,3698.5,10,0,0.512,0.172,0
419,4,3,1114.8,13,2,0.524,0.323,1
420,4,2,1931.4,17,2,0.357,0.238,0
421,3,5,309.5,9,2,0.447,0.095,0
422,1,2,1239.1,14,4,0.369,0.407,0
423,3,7,3989.1,10,4,0.148,0.083,0
424,2,3,1286.9,9,1,0.571,0.149,0
425,10,1,359.8,20,3,0.229,0.171,0
426,5,3,434.2,14,0,0.06,0.614,0
427,2,11,243.0,14,2,0.068,0.535,0
428,4,3,1106.1,9,0,0.177,0.173,0
429,1,4,2054.7,12,2,0.173,0.217,0
430,1,5,1087.3,9,3,0.115,0.615,0
431,2,6,308.6,10,3,0.32,0.102,0
432,1,5,3782.7,0,0,0.192,0.131,0
433,2,3,4548.3,12,0,0.296,0.389,0
434,2,1,4436.6,13,0,0.074,0.127,0
435,1,2,4188.3,13,1,0.314,0.099,0
436,2,5,1191.8,10,0,0.294,0.285,0
437,2,3,3954.9,12,5,0.402,0.367,1
438,1,5,3940.7,21,5,0.197,0.353,0
439,4,7,360.2,17,2,0.053,0.094,0
440,5,1,2030.5,19,1,0.118,0.577,0
441,4,2,401.0,19,0,0.033,0.182,0
442,1,5,2170.3,17,1,0.179,0.065,0
443,1,8,932.0,19,0,0.106,0.31,0
444,3,10,424.5,9,4,0.064,0.26,0
445,1,7,2606.9,21,0,0.2,0.063,0
446,2,7,1229.1,7,0,0.317,0.455,0
447,6,4,158.0,20,0,0.247,0.042,0
448,1,6,267.0,9,6,0.291,0.615,0
449,3,11,1106.2,8,2,0.414,0.146,1
450,3,2,2716.5,13,0,0.12,0.362,0
451,4,5,2194.1,2,5,0.104,0.112,0
452,2,3,830.9,5,1,0.282,0.376,0
453,6,1,2530.1,10,0,0.332,0.325,0
454,3,4,1090.1,5,0,0.35,0.251,0
455,1,2,1303.2,14,0,0.062,0.372,0
456,1,4,1071.0,18,2,0.24,0.156,0
457,3,4,889.5,11,0,0.414,0.292,0
458,3,1,993.6,20,2,0.547,0.33,0
459,3,1,372.6,6,4,0.117,0.167,0
460,1,6,286.7,14,1,0.246,0.219,0
461,6,7,251.4,10,1,0.053,0.267,0
462,4,2,240.7,6,0,0.316,0.17,0
463,1,6,958.3,9,2,0.263,0.135,0
464,4,2,881.2,7,6,0.121,0.52,0
465,6,7,313.1,15,5,0.207,0.04,0
466,2,3,892.5,13,0,0.349,0.063,0
467,6,1,4409.1,9,2,0.228,0.411,0
468,3,10,2300.9,12,2,0.095,0.283,0
469,4,1,1401.5,8,5,0.185,0.196,0
470,3,4,2618.0,6,2,0.101,0.259,0
471,1,4,1061.8,14,4,0.42,0.328,0
472,1,6,266.2,20,0,0.462,0.082,0
473,1,2,304.6,10,5,0.209,0.098,0
474,3,10,1019.0,10,0,0.587,0.602,1
475,6,1,1041.8,9,3,0.284,0.193,0
476,6,4,355.0,13,0,0.191,0.093,0
477,2,1,1102.1,19,1,0.415,0.499,0
478,3,11,252.2,5,4,0.706,0.372,0
479,1,7,2451.4,11,1,0.332,0.198,0
480,7,3,237.2,6,3,0.354,0.032,0
481,1,7,248.4,7,1,0.3,0.17,0
482,4,2,245.2,21,0,0.339,0.041,0
483,7,2,1110.0,20,6,0.079,0.081,0
484,4,2,363.3,11,0,0.297,0.192,0
485,1,7,3882.9,9,1,0.107,0.051,0
486,3,1,401.6,11,4,0.182,0.048,0
487,1,3,309.4,10,4,0.392,0.664,0
488,3,9,860.1,9,6,0.044,0.019,0
489,3,8,349.5,8,2,0.341,0.157,0
490,1,2,3554.9,16,0,0.333,0.153,0
491,2,7,296.9,12,2,0.142,0.314,0
492,2,9,1048.7,7,2,0.386,0.273,0
493,2,3,875.5,10,0,0.13,0.073,0
494,3,4,364.5,19,6,0.184,0.263,0
495,2,1,3558.4,20,1,0.435,0.325,0
496,1,2,3976.6,10,0,0.29,0.101,0
497,5,3,2853.0,5,1,0.506,0.403,1
498,5,2,296.8,16,6,0.108,0.307,0
499,6,7,2074.9,23,0,0.073,0.344,0
500,1,2,322.7,13,1,0.112,0.083,0
501,4,5,1068.8,12,3,0.134,0.348,0
502,3,4,2367.5,5,1,0.427,0.056,0
503,4,9,306.6,6,2,0.214,0.328,1
504,4,2,3863.0,9,1,0.133,0.189,0
505,5,6,1448.4,10,2,0.207,0.321,0
506,5,6,381.9,7,3,0.085,0.43,0
507,4,5,423.9,15,2,0.205,0.239,0
508,1,2,357.7,22,0,0.148,0.203,0
509,3,2,298.7,11,0,0.266,0.102,1
510,5,3,318.8,20,1,0.205,0.159,0
511,1,5,2422.0,12,4,0.424,0.741,0
512,2,3,1938.5,12,2,0.086,0.019,0
513,1,8,966.3,12,0,0.283,0.095,0
514,1,2,1096.1,16,5,0.217,0.503,0
515,2,1,1259.7,14,3,0.36,0.135,0
516,7,2,3970.5,7,4,0.487,0.613,0
517,8,5,2798.5,23,0,0.293,0.152,0
518,2,1,272.1,9,0,0.308,0.187,0
519,4,7,1013.9,17,1,0.15,0.171,0
520,5,9,4473.3,18,0,0.194,0.108,0
521,4,8,1070.5,15,0,0.392,0.304,0
522,1,6,1331.7,5,1,0.157,0.057,0
523,2,3,346.9,11,2,0.095,0.193,0
524,7,1,2303.6,7,0,0.335,0.313,0
525,4,3,1204.5,8,6,0.384,0.033,0
526,7,2,3475.6,11,5,0.123,0.28,0
527,7,4,1047.9,12,5,0.347,0.392,0
528,6,4,465.4,0,2,0.341,0.204,0
529,9,6,418.9,13,0,0.104,0.275,0
530,2,4,355.5,5,4,0.18,0.087,0
531,4,6,384.1,7,1,0.531,0.389,0
532,6,7,1221.6,12,1,0.041,0.46,0
533,3,6,2807.3,18,1,0.126,0.244,0
534,6,7,1213.5,4,2,0.41,0.168,0
535,1,9,308.2,11,4,0.231,0.24,0
536,5,1,990.3,10,1,0.306,0.093,0
537,7,1,326.7,17,2,0.253,0.027,0
538,1,7,349.0,5,0,0.111,0.408,0
539,3,5,938.0,13,0,0.491,0.218,0
540,4,5,293.6,11,3,0.425,0.354,0
541,4,8,943.4,6,0,0.2,0.271,0
542,1,9,2513.4,20,1,0.29,0.204,1
543,1,4,2648.4,9,3,0.501,0.538,1
544,3,4,1272.4,13,1,0.124,0.389,0
545,2,1,918.5,4,4,0.241,0.032,0
546,6,5,367.2,23,1,0.179,0.168,0
547,1,6,314.2,13,2,0.224,0.244,0
548,3,2,2490.6,13,0,0.345,0.141,0
549,2,4,287.6,11,3,0.193,0.458,0
550,1,2,482.4,21,0,0.343,0.61,0
551,2,7,337.0,15,0,0.112,0.385,0
552,3,1,333.8,19,5,0.195,0.668,0
553,2,3,3958.7,3,3,0.05,0.127,0
554,4,7,1163.8,11,0,0.123,0.279,0
555,6,7,1250.2,14,0,0.516,0.038,0
556,1,6,4612.3,10,0,0.219,0.242,0
557,2,7,2419.6,11,2,0.241,0.073,0
558,4,6,444.4,5,2,0.147,0.244,0
559,7,1,1176.7,18,0,0.172,0.758,0
560,4,1,1192.2,4,5,0.362,0.543,0
561,5,1,985.3,18,0,0.14,0.049,0
562,1,3,247.0,12,3,0.152,0.044,0
563,1,5,441.3,18,0,0.243,0.071,0
564,1,2,2358.8,10,4,0.177,0.15,0
565,3,4,2800.6,17,4,0.112,0.628,0
566,2,1,438.3,3,1,0.291,0.132,0
