id,passenger_id,flight_id,fare_class,purchase_channel,ticket_price,ancillaries_spend
152,1671,61,0,0,363.52,30.91
153,121,451,0,2,163.47,22.83
154,2208,783,1,0,208.89,35.57
155,3000,1003,0,3,354.71,8.36
156,2495,307,0,2,222.53,26.25
157,304,958,0,0,462.61,47.61
158,2226,765,1,0,207.12,15.07
159,483,760,0,2,171.86,7.35
160,3057,521,0,1,125.82,78.22
161,332,793,1,1,555.3,41.24
162,3444,718,1,2,283.57,67.69
163,153,403,0,3,191.67,17.94
164,2001,61,0,1,302.44,33.88
165,3053,534,0,0,380.76,23.4
166,995,706,0,1,99.37,50.72
167,661,561,0,0,247.98,46.25
168,2537,1162,0,0,287.99,44.97
169,3951,139,0,2,174.39,20.48
170,3477,1101,1,0,983.61,129.48
171,4159,611,0,0,45.0,21.54
172,2993,836,1,3,345.88,138.86
173,3956,381,1,1,438.68,49.03
174,90,952,0,1,326.34,6.29
175,1857,639,0,2,67.98,40.21
176,2165,409,2,2,1687.4,25.47
177,1544,511,0,1,122.54,43.12
178,475,106,0,1,445.48,20.46
179,3554,706,0,2,201.02,17.02
180,1709,591,0,0,341.06,14.72
181,3366,1183,0,3,432.12,16.45
182,1003,1176,1,2,278.0,47.71
183,3814,1129,1,0,276.02,12.63
184,2196,243,1,0,577.18,26.14
185,3663,637,2,3,1007.45,60.62
186,2025,261,2,3,845.96,13.39
187,3672,301,1,0,281.46,50.25
188,3705,136,0,0,204.32,18.59
189,2129,865,0,1,293.32,15.23
190,3933,404,2,0,405.24,35.47
191,1027,475,2,0,401.44,51.48
192,749,392,0,3,224.91,53.18
193,4107,615,0,2,265.07,30.28
194,3710,600,1,2,533.72,19.08
195,164,851,0,3,328.86,34.95
196,58,212,1,0,359.9,19.87
197,4010,249,1,2,134.77,24.58
198,3497,1010,1,0,251.16,5.91
199,1828,1099,0,0,353.63,1.83
200,2687,581,1,0,845.06,28.38
201,793,1004,1,3,477.07,65.48
202,2235,203,0,1,260.01,14.16
203,2667,1153,0,2,380.69,9.1
204,1467,1012,0,2,252.7,50.97
205,672,264,0,0,379.65,25.98
206,1450,1067,0,1,360.45,24.52
207,1704,367,1,3,145.42,15.23
208,1778,688,1,2,202.91,50.51
209,3529,1094,0,3,187.72,13.24
210,1541,863,1,2,232.44,37.12
211,403,934,2,0,1513.79,30.38
212,2307,492,1,2,213.81,18.88
213,4164,459,0,3,684.06,45.59
214,3293,1009,0,2,298.92,64.1
215,2443,799,1,3,338.05,20.28
216,1900,371,0,3,180.51,60.1
217,3169,385,0,2,185.96,47.88
218,3723,1091,1,0,639.11,31.03
219,3135,290,0,2,212.35,20.48
220,3754,980,0,0,202.42,59.44
221,645,1083,1,0,948.78,7.1
222,16,965,0,1,350.84,68.55
223,3235,645,0,3,111.21,80.28
224,3649,426,0,0,123.22,18.12
225,1093,694,0,0,198.99,37.59
226,3770,630,0,1,229.59,17.37
227,111,49,0,0,401.7,5.0
228,2150,780,1,1,328.11,56.64
229,3011,651,0,0,89.81,25.72
230,2231,1077,0,2,323.42,21.32
231,2612,935,0,2,193.27,9.77
232,1163,891,0,2,216.77,15.08
233,3279,711,0,0,366.76,90.12
234,815,372,0,2,134.47,31.76
235,909,164,0,2,156.72,35.55
236,1743,599,0,1,110.46,37.46
237,4079,410,2,0,1889.78,27.59
238,1592,785,0,0,145.22,44.03
239,3300,170,0,0,309.84,4.3
240,26,695,0,2,318.38,24.51
241,161,708,0,1,321.71,26.37
242,1019,209,1,0,652.9,26.17
243,2447,1114,0,1,548.04,101.29
244,2339,1052,1,0,1172.18,22.19
245,1348,27,0,0,150.82,59.95
246,199,12,2,1,736.25,42.14
247,1106,651,0,0,102.96,6.83
248,4159,611,0,3,151.63,12.87
249,2166,277,1,1,206.59,122.45
250,385,601,2,1,360.92,53.94
251,3046,517,1,0,484.58,30.78
252,381,189,2,2,349.6,37.41
253,26,695,0,3,403.19,20.35
254,2601,1067,1,1,401.55,94.3
255,1620,1153,0,2,295.72,22.31
256,896,36,1,2,283.41,201.62
257,2443,799,1,1,309.59,1.87
258,2917,221,0,1,777.28,34.87
259,308,317,0,1,197.54,17.53
260,1014,399,2,2,1755.67,59.32
261,4073,1113,0,0,112.81,59.62
262,3630,607,0,1,377.23,0.0
263,2558,52,1,0,286.9,27.66
264,902,757,0,3,406.43,26.16
265,2853,483,1,2,573.29,22.61
266,469,844,0,3,445.14,42.59
267,554,829,2,1,344.79,41.83
268,2803,167,0,3,115.0,38.2
269,1025,801,1,2,248.7,49.25
270,3327,709,0,0,259.79,46.9
271,3889,366,0,2,171.56,12.87
272,1988,569,0,0,428.8,8.42
273,828,642,1,1,497.49,43.18
274,499,1184,0,2,177.34,8.42
275,3140,145,0,0,97.62,28.49
276,1695,673,0,2,402.41,87.38
277,2181,133,0,1,161.34,39.89
278,708,1128,0,1,283.66,95.15
279,1679,546,0,2,387.12,5.13
280,947,150,0,3,186.05,51.89
281,322,106,1,1,540.15,97.44
282,301,101,0,0,84.95,27.23
283,2618,1134,1,0,977.36,43.4
284,2096,1128,2,2,826.21,91.89
285,1762,641,0,0,699.26,5.88
286,795,286,1,0,425.86,17.66
287,4060,1053,1,0,521.21,87.35
288,3801,240,0,1,362.65,41.03
289,802,245,0,3,237.9,23.61
290,3809,777,0,2,292.43,35.26
291,3173,1177,2,2,1498.44,40.42
292,1682,1034,0,0,219.2,12.15
293,425,534,1,1,619.81,72.21
294,3421,825,0,1,697.02,12.81
295,3744,1082,0,2,132.43,45.55
296,164,851,1,0,608.25,40.22
297,860,863,1,2,202.63,96.71
298,2897,691,2,0,1602.23,61.5
299,675,268,0,2,141.74,51.25
300,630,1080,1,3,270.69,27.22
301,2616,1065,1,3,282.74,6.3
302,2939,819,0,2,99.96,3.85
303,21,606,0,2,218.93,36.44
304,994,85,0,0,278.98,40.69
305,1075,679,1,1,1090.97,44.04
306,1825,590,0,1,171.66,61.56
307,1670,565,0,0,172.91,34.78
308,1482,1072,1,0,187.13,79.59
309,3759,255,0,2,715.78,20.52
310,274,294,0,2,694.98,32.29
311,3907,710,1,3,267.07,37.94
312,4072,260,1,0,328.66,9.76
313,1471,862,1,0,428.16,46.9
314,3006,1016,0,1,193.7,9.19
315,1680,554,1,0,213.18,67.4
316,2114,867,0,1,332.25,18.78
317,1695,673,0,2,475.3,52.86
318,430,1111,2,0,691.67,41.92
319,3580,431,0,0,643.4,22.88
320,18,64,0,0,200.59,17.09
321,1580,98,1,3,541.84,44.28
322,2138,865,1,0,526.63,17.21
323,1630,34,0,0,137.12,38.01
324,1871,953,0,0,399.01,7.92
325,251,597,0,0,714.43,28.54
326,2561,533,0,2,300.64,41.85
327,3198,1052,1,2,1244.09,63.43
328,1209,29,1,0,199.59,37.19
329,1071,845,0,3,120.87,7.48
330,1418,396,0,1,341.08,44.23
331,3548,858,0,2,261.46,2.67
332,3144,595,0,2,589.05,25.01
333,2943,767,0,3,198.81,27.99
334,2044,323,1,0,642.52,2.64
335,3571,746,1,2,352.92,25.81
336,2647,270,1,0,1068.06,111.35
337,660,749,1,0,244.1,44.98
338,1554,235,0,0,623.34,48.75
339,2600,261,1,0,475.89,27.5
340,1440,57,1,3,286.55,49.15
341,2559,21,2,0,269.33,85.63
342,1571,541,0,0,183.38,23.28
343,525,346,2,0,279.89,86.56
344,1560,1024,1,1,312.28,20.05
345,2509,705,0,0,215.38,52.07
346,545,118,1,2,291.28,96.79
347,4019,1020,0,0,226.72,29.03
348,3928,76,2,3,734.93,9.24
349,2425,693,2,2,334.34,21.87
350,1761,763,0,2,261.07,42.43
351,915,949,0,2,228.44,7.76
352,2862,307,0,2,253.3,16.45
353,3151,1051,0,0,119.61,11.83
354,3332,936,1,0,299.88,46.28
355,2315,357,1,0,201.24,89.88
356,277,123,1,0,567.72,35.64
357,1227,1176,1,2,236.48,15.72
358,2912,858,0,0,180.79,21.24
359,3021,900,1,3,280.81,35.51
360,473,567,1,3,1030.94,32.01
361,3452,627,2,0,753.93,35.76
362,68,174,1,0,550.07,6.37
363,690,823,2,0,435.34,24.23
364,2177,814,0,2,753.95,29.41
365,1434,154,1,0,1244.66,70.28
366,1961,58,1,0,465.08,13.79
367,891,797,0,0,434.3,35.99
368,3724,978,0,1,226.98,35.86
369,4178,514,0,1,232.39,51.64
370,2107,384,0,0,727.99,22.98
371,1422,478,1,0,607.0,17.34
372,446,228,1,0,407.04,54.91
373,2153,175,1,2,185.41,59.53
374,3577,53,1,3,391.17,170.16
375,1688,1159,0,2,582.59,22.5
376,21,606,1,0,344.92,2.98
377,417,1126,0,2,258.02,35.41
378,2787,775,0,0,173.51,16.59
379,2349,405,1,1,499.04,24.28
380,2124,153,2,2,791.84,30.84
381,1023,505,1,2,491.26,21.28
382,757,929,1,1,294.26,29.64
383,2961,665,1,2,265.96,41.25
384,1216,389,1,0,256.15,30.21
385,495,3,0,0,246.4,34.5
386,1617,693,0,2,118.82,86.5
387,2073,644,2,2,1936.34,22.51
388,48,832,1,0,491.29,11.05
389,2285,32,1,2,424.84,24.1
390,1205,1155,0,0,262.91,24.31
391,3776,61,2,2,722.2,7.95
392,4000,60,1,0,1070.05,13.83
393,310,614,1,2,548.99,23.6
394,160,1109,0,0,521.74,54.98
395,1585,3,1,0,292.47,0.0
396,3347,1024,0,0,176.39,34.95
397,1463,265,1,0,547.68,36.73
398,3351,88,0,1,73.71,58.29
399,3165,828,0,0,306.35,3.37
400,4108,522,0,2,631.8,73.11
401,2321,118,0,1,184.53,16.44
402,3718,194,1,0,581.08,15.49
403,2405,363,1,0,545.48,9.04
404,3613,499,1,2,432.71,43.16
405,1069,864,2,1,1902.5,55.14
406,2625,814,2,0,1724.02,51.46
407,2853,483,0,0,391.03,45.51
408,490,1085,0,1,247.94,24.48
409,2529,643,2,2,760.21,54.67
410,766,174,0,0,325.32,18.64
411,439,928,0,2,133.64,29.72
412,4149,1006,1,3,466.04,11.85
413,3741,300,1,1,556.86,12.41
414,3178,400,0,1,212.05,7.93
415,80,395,1,2,274.01,52.24
416,1896,1098,0,0,245.71,34.23
417,1599,709,0,0,176.53,58.49
418,2393,897,0,0,326.52,47.78
419,3271,395,1,1,234.53,3.36
420,1440,57,1,3,391.42,29.35
421,976,1183,0,2,368.27,3.65
422,3425,660,0,2,100.5,79.71
423,2183,382,1,1,291.16,47.51
424,226,1159,0,0,742.13,3.49
425,2001,61,1,2,392.21,76.02
426,2979,256,1,3,307.7,63.42
427,2470,383,1,2,980.88,35.81
428,1904,894,2,3,304.8,9.47
429,2134,439,0,3,267.88,22.2
430,2616,1065,1,1,268.34,51.36
431,1983,1065,0,1,228.71,36.41
432,2236,229,0,0,316.19,24.91
433,1139,688,0,0,174.17,21.15
434,1335,451,0,1,132.34,32.07
435,3476,759,0,0,133.61,90.52
436,3750,226,0,2,155.28,27.95
437,1965,683,0,0,394.73,53.8
438,2305,568,0,1,112.57,45.24
439,357,824,2,3,448.44,25.55
440,1636,422,0,0,198.02,22.09
441,3240,357,0,0,240.6,34.28
442,1875,868,1,3,243.6,35.19
443,2460,766,0,2,742.9,13.04
444,99,892,2,1,517.1,31.39
445,3658,877,1,2,177.56,10.6
446,3921,410,1,2,1212.55,33.61
447,1820,406,2,0,470.46,62.78
448,1417,286,2,0,615.24,23.04
449,1591,1106,0,1,345.78,20.36
450,1807,979,1,1,289.23,13.24
451,2309,470,1,1,212.02,11.74
452,4045,216,1,0,946.31,27.16
453,120,219,0,0,97.56,38.43
454,788,760,0,2,211.05,35.33
455,4044,511,1,0,296.7,47.85
456,3921,410,1,0,1071.72,55.2
457,538,379,0,0,293.74,60.48
458,1422,478,1,3,653.78,15.59
459,3397,864,1,3,1260.03,16.25
460,1826,247,0,0,340.14,35.29
461,33,27,1,2,236.94,31.83
462,178,1177,2,1,1499.97,38.16
463,3811,928,2,1,426.82,8.65
464,2019,709,0,3,262.83,37.78
465,1540,904,0,2,383.78,20.0
466,3819,115,0,0,191.66,61.66
467,2386,817,1,0,307.91,19.08
468,2848,747,0,2,275.34,21.35
469,3289,695,0,3,363.59,20.48
470,1693,790,0,0,191.26,57.9
471,4099,136,1,1,349.92,36.57
472,3176,984,0,0,427.17,58.39
473,3170,630,0,2,302.32,5.08
474,3219,484,0,0,311.66,1.67
475,2316,280,0,0,282.8,41.87
476,3412,1060,1,2,190.98,18.95
477,2017,908,0,1,264.6,31.86
478,863,290,2,1,556.12,23.06
479,1168,357,0,0,150.81,24.81
480,671,317,1,0,278.65,45.58
481,3107,129,1,1,332.21,42.29
482,1133,1043,0,2,578.68,36.17
483,441,199,1,2,201.47,59.01
484,1796,106,2,0,774.3,28.37
485,3297,102,1,1,555.21,134.1
486,2960,563,2,3,488.83,15.41
487,58,212,0,3,143.79,32.08
488,1768,388,2,2,1114.16,19.33
489,625,774,0,3,129.66,9.75
490,4178,514,0,1,262.92,62.58
491,2446,895,0,2,93.58,10.41
492,2877,215,0,3,291.86,1.67
493,1546,248,1,2,1062.6,3.62
494,52,223,1,0,580.22,24.84
495,125,1081,0,0,435.15,23.47
496,641,394,0,3,755.08,25.9
497,1091,197,2,2,407.77,68.59
498,2102,641,0,1,786.63,17.54
499,3613,499,0,1,269.82,22.92
500,3043,662,0,0,246.37,4.06
501,537,791,1,2,603.33,47.42
502,887,111,1,0,382.47,48.21
503,117,253,2,2,300.26,19.96
504,1933,454,0,1,155.44,63.4
505,2401,267,0,3,108.93,22.42
506,4141,853,0,1,45.0,10.58
507,2615,127,0,3,473.6,25.34
508,2878,184,0,1,206.61,55.76
509,1813,983,0,2,265.08,36.01
510,2663,515,0,0,238.8,58.05
511,829,708,0,3,358.94,12.04
512,1283,374,0,2,142.97,26.87
513,2013,826,0,0,294.36,40.07
514,131,484,0,2,195.87,42.49
515,1906,1146,1,0,381.41,10.76
516,1298,86,1,0,513.0,43.44
517,2487,782,1,2,467.03,25.64
518,84,242,1,0,519.39,33.58
519,2047,1053,0,0,478.13,43.76
520,2661,632,0,3,375.53,22.37
521,2779,549,0,0,202.95,8.19
522,803,588,2,3,852.63,62.58
523,4,150,0,2,234.12,72.38
524,1402,103,1,0,182.7,25.3
525,3370,230,1,3,261.24,64.34
526,4004,385,1,0,147.62,22.48
527,3335,688,0,0,215.0,87.01
528,149,607,0,0,312.84,11.69
529,3823,1005,1,0,485.58,6.53
530,1079,209,0,2,312.85,0.0
531,127,643,0,1,322.05,34.35
532,3323,60,0,0,717.82,30.56
533,2140,265,0,1,379.99,31.93
534,3914,74,0,1,45.0,13.47
535,1961,58,0,0,401.28,50.11
536,507,1125,2,0,403.65,22.23
537,3401,545,1,2,608.13,55.15
538,1806,784,1,2,189.35,72.82
539,3480,347,1,0,468.74,141.67
540,2584,1148,1,3,260.22,45.99
541,3895,60,1,3,1238.84,39.43
542,1654,55,1,2,434.64,46.05
543,3259,910,0,2,264.53,49.41
544,45,85,0,3,256.47,40.39
545,1169,445,1,2,305.59,21.33
546,4126,1003,2,0,786.93,40.26
547,2086,994,1,0,454.83,29.31
548,1405,221,2,0,1806.38,51.5
549,221,942,0,2,177.9,44.82
550,1021,424,0,1,213.4,5.85
551,3059,955,0,2,161.26,17.39
552,2860,816,1,0,451.24,88.99
553,1344,219,1,0,161.41,30.33
554,3613,499,1,2,412.61,22.5
555,528,160,0,0,71.13,13.88
556,347,275,1,2,1249.07,12.91
557,3611,338,0,1,763.09,23.19
558,1211,1129,0,0,174.79,51.57
559,2151,368,0,2,75.19,1.15
560,208,1126,0,1,267.82,97.93
561,3600,319,0,2,518.49,54.24
562,188,164,0,2,230.73,24.95
563,3551,608,0,0,309.26,70.17
564,3639,1059,1,0,244.08,6.31
565,1839,592,1,2,973.2,20.81
566,795,286,0,1,277.6,18.26
567,3333,1134,0,1,562.29,33.6
568,2039,635,0,1,560.61,10.94
569,2096,1128,1,0,506.2,6.15
570,1957,276,2,0,535.78,51.31
571,1359,993,0,0,382.83,6.66
572,1522,1099,0,2,442.02,19.69
573,3024,866,1,3,479.85,33.93
574,1197,1091,1,0,611.8,27.77
575,1786,751,0,1,87.24,12.86
576,204,649,0,3,45.56,15.83
577,3316,230,1,1,242.98,49.15
578,2913,552,0,0,357.3,42.62
579,886,652,2,1,340.14,61.28
580,1934,606,0,1,263.76,34.44
581,4102,145,2,2,452.16,28.44
582,791,606,1,2,281.08,36.3
583,2171,150,0,2,212.57,95.96
584,534,364,0,0,375.92,41.02
585,300,111,1,1,553.92,69.6
586,991,375,1,0,1142.7,49.89
587,1942,606,0,2,139.03,11.17
588,1809,1121,0,1,193.06,50.12
589,2249,660,1,2,355.24,41.49
590,4049,914,0,0,122.12,18.5
591,2183,382,0,3,187.86,20.12
592,4067,342,0,2,278.27,23.46
593,354,985,0,2,47.08,8.2
594,1560,1024,0,1,212.51,25.25
595,296,1087,1,2,317.08,31.76
596,2827,872,2,2,760.89,18.29
597,2383,31,0,0,450.11,3.06
598,214,924,0,0,132.0,9.33
599,2968,28,2,0,338.97,16.27
600,845,1089,0,2,321.55,41.18
601,1564,513,0,3,206.47,54.53
602,2281,688,1,1,131.99,47.0
603,3974,662,0,2,267.64,18.14
604,1491,1086,0,1,198.81,76.16
605,3173,1177,0,0,531.64,167.27
606,2036,22,0,0,142.33,36.2
607,2799,646,1,0,855.94,51.4
608,638,385,0,2,206.68,86.93
609,3161,997,2,2,875.41,40.65
610,1612,789,0,3,215.65,11.8
611,3743,397,1,0,492.51,27.23
612,3682,512,1,2,594.22,32.19
613,2260,201,0,3,659.05,12.5
614,3047,256,1,0,269.25,15.61
615,1150,1149,1,0,429.53,23.33
616,1970,338,1,0,1082.69,30.47
617,3049,145,1,2,147.52,89.77
618,1714,105,0,3,375.92,24.88
619,3987,335,0,1,156.51,18.14
620,176,501,1,2,133.09,36.84
621,348,302,0,1,136.05,67.34
622,2699,861,0,3,170.15,44.3
623,1972,938,0,1,201.58,23.52
624,386,605,1,3,267.36,14.03
625,1355,793,0,3,434.03,15.59
626,2871,1177,0,0,600.1,0.0
627,2274,933,0,0,191.71,48.8
628,6,134,1,2,238.99,13.83
629,538,379,0,2,383.16,29.63
630,139,401,0,1,62.88,51.9
631,2735,13,2,0,884.39,109.08
632,3260,40,0,1,726.53,1.95
633,2978,878,0,2,817.25,28.04
634,1865,452,0,2,759.34,45.99
635,2618,1134,0,3,633.08,31.44
636,2615,127,0,3,313.89,20.76
637,4058,392,0,1,145.59,29.83
638,1794,417,0,0,157.22,36.9
639,1198,1105,1,0,229.68,49.08
640,1082,1022,0,0,265.42,22.63
641,2067,814,2,1,1747.59,10.58
642,936,277,1,0,223.48,34.85
643,657,581,1,0,864.46,33.23
644,2827,872,0,3,355.46,10.65
645,891,797,1,2,532.89,71.33
646,2388,949,1,0,317.07,1.22
647,3156,1079,1,2,226.6,15.05
648,35,1149,0,0,196.4,23.16
649,3296,281,2,0,734.7,19.23
650,1319,1103,1,0,836.2,46.85
651,3977,523,1,3,544.36,2.28
652,109,222,0,1,191.61,16.99
653,3684,975,0,1,192.89,22.83
654,1568,71,1,0,202.87,27.15
655,1458,782,0,0,372.39,32.17
656,1766,1086,1,1,281.17,32.23
657,1698,59,0,1,203.96,90.57
658,1980,927,1,3,435.98,66.64
659,2723,565,0,0,155.35,20.51
660,1610,693,0,0,213.91,14.92
661,2654,636,1,1,365.76,45.26
662,3607,270,2,1,1622.88,98.38
663,3073,356,1,0,469.49,21.28
664,2034,290,0,0,139.0,3.9
665,211,70,2,2,473.57,15.38
666,810,1062,0,1,342.5,14.38
667,2639,563,0,1,231.39,12.07
668,1475,89,1,1,332.66,49.55
669,3938,727,2,0,426.63,37.59
670,3665,284,0,0,195.61,29.87
671,4080,110,0,0,199.18,69.26
672,2294,15,1,3,578.85,83.51
673,2142,41,1,0,306.37,23.82
674,382,130,2,3,893.46,34.74
675,3409,149,2,0,549.6,11.75
676,1713,1153,2,1,834.58,19.29
677,694,640,1,2,209.23,31.36
678,1300,301,0,0,136.77,5.77
679,3931,925,0,2,264.23,57.27
680,2490,1017,2,2,377.27,79.55
681,2244,673,1,2,515.89,12.78
682,2573,950,2,1,1291.48,76.71
683,333,23,0,0,294.03,44.74
684,2175,1150,0,2,324.53,23.6
685,2427,488,0,0,236.22,47.21
686,2987,576,1,0,356.04,35.79
687,1242,271,2,1,655.59,13.62
688,201,733,0,1,77.16,12.59
689,2110,764,2,3,340.17,20.27
690,794,509,1,3,741.56,52.22
691,1829,935,0,1,180.82,6.26
692,3466,1039,2,0,329.54,27.06
693,1273,265,2,0,760.55,27.6
694,68,174,1,1,555.21,17.51
695,141,710,0,1,123.68,82.98
696,3077,1090,0,3,111.59,83.22
697,322,106,1,0,424.87,21.03
698,2996,15,2,1,745.76,19.45
699,2134,439,1,0,318.68,13.65
700,1928,446,0,0,228.57,13.63
701,364,492,1,3,239.29,9.22
702,2501,1003,2,1,767.35,64.58
703,3948,1095,0,3,605.53,0.65
704,2227,867,0,2,424.99,62.09
705,1283,374,1,2,223.32,89.03
706,2808,425,1,2,1042.83,12.92
707,3362,693,2,0,294.1,67.68
708,3828,8,0,3,428.08,62.84
709,2770,1127,1,0,270.87,26.27
710,2296,802,1,0,490.51,159.74
711,2575,373,0,0,296.15,13.56
712,1908,822,1,3,349.41,51.42
713,78,1020,0,0,220.2,15.07
714,37,131,2,3,437.22,36.7
715,2813,670,1,3,602.93,2.56
716,2353,19,0,1,200.2,56.21
717,1224,750,1,1,442.38,16.58
718,3425,660,1,2,296.18,38.7
719,2638,135,1,2,422.92,34.62
720,2562,457,0,0,307.68,31.63
721,4066,654,1,2,487.82,46.26
722,2885,603,0,3,109.22,34.19
723,1402,103,1,2,153.12,76.73
724,2693,586,1,1,166.33,40.91
725,543,198,1,2,241.29,30.9
726,3882,1138,0,0,324.93,26.08
727,2422,44,1,2,115.58,51.62
728,1520,496,2,2,382.78,31.31
729,281,1181,0,0,345.4,7.37
730,3180,1140,0,0,129.77,90.15
731,1774,1161,2,2,358.91,11.97
732,1034,326,0,0,197.29,21.54
733,1011,460,2,1,455.68,67.67
