id,ticket_id,claim_type,claim_amount,resolved_days,fraud_flag
112,29,0,137.58,9,0
113,1331,0,160.98,6,0
114,513,1,512.84,10,0
115,1496,2,221.57,7,0
116,585,0,40.07,1,0
117,122,3,393.56,8,0
118,553,0,188.53,5,0
119,989,0,34.91,10,0
120,74,1,172.17,7,0
121,793,2,106.01,5,0
122,1787,2,172.03,4,0
123,1355,0,354.32,1,0
124,1654,0,131.68,8,0
125,550,3,35.45,9,0
126,1417,2,75.93,1,0
127,778,3,268.14,9,0
128,1576,0,44.44,3,1
129,285,0,233.11,8,0
130,423,0,91.75,4,0
131,1554,2,38.41,3,0
132,1492,1,469.54,9,0
133,914,3,182.05,15,0
134,1142,1,63.8,6,0
135,889,2,163.37,9,0
136,398,1,30.0,5,0
137,1565,0,486.67,6,0
138,1130,0,72.95,7,0
139,417,0,201.27,8,1
140,1830,0,459.71,8,0
141,1855,0,78.32,7,0
142,1347,0,181.12,8,0
143,586,0,39.3,6,0
144,746,0,369.95,7,0
145,1256,0,153.0,3,0
146,359,2,135.24,5,0
147,267,2,194.11,4,0
148,412,0,30.59,11,0
149,1392,0,143.82,3,0
150,946,1,30.0,5,0
151,695,0,190.72,8,0
152,981,0,78.83,9,1
153,1427,0,61.91,5,1
154,248,0,161.89,8,1
155,920,0,571.88,5,0
156,1858,3,611.52,13,0
157,1221,0,278.2,4,0
158,337,1,63.04,12,0
159,1025,3,264.69,14,0
160,1079,0,82.01,8,0
161,1430,0,95.1,6,0
162,1301,2,155.82,11,0
163,997,3,521.48,10,0
164,1840,2,60.45,5,0
165,1123,3,98.2,11,0
166,1835,0,105.12,9,0
167,1518,0,99.2,8,0
168,422,1,74.86,3,0
169,1700,1,791.44,5,0
170,1494,1,45.09,7,0
171,1882,0,463.63,8,0
172,1256,0,380.01,5,0
173,2,0,30.56,11,0
174,1033,1,112.42,3,0
175,1750,0,113.77,13,0
176,1515,3,366.23,7,0
177,1765,0,92.25,5,0
178,678,1,467.04,7,0
179,1120,1,299.94,5,0
180,1381,0,45.58,10,0
181,1546,2,56.17,6,0
182,874,2,60.44,2,0
183,1233,0,306.33,3,0
184,1537,3,123.69,18,0
185,1288,0,140.45,1,0
186,484,1,153.96,11,0
187,1266,0,253.99,10,0
188,461,3,850.97,13,1
189,1681,3,152.66,10,0
190,210,0,154.72,8,0
191,131,2,330.56,5,0
192,765,1,1405.61,6,0
193,612,0,62.56,2,0
194,1494,2,280.16,10,0
195,1083,0,122.11,10,0
196,1224,0,533.69,7,0
197,1296,1,111.04,2,0
198,1419,0,96.59,6,0
199,395,0,90.6,7,0
200,452,0,35.71,5,0
201,604,2,984.9,9,0
202,1188,3,143.23,9,0
203,253,1,381.81,8,0
204,1816,0,307.24,2,0
205,173,1,646.19,7,1
206,1579,2,41.64,11,0
207,1567,2,261.99,5,0
208,482,0,51.94,3,0
209,1585,1,281.0,3,0
210,126,0,73.55,4,0
211,196,0,171.28,8,0
212,221,0,118.03,8,0
213,735,0,34.32,8,0
214,1007,0,58.66,8,0
215,1722,1,38.1,2,0
216,984,0,35.4,7,0
217,1224,0,500.29,3,0
218,1139,0,191.32,7,1
219,1112,1,112.34,10,1
220,1435,0,234.09,8,0
221,950,2,343.78,5,0
222,828,0,93.59,8,0
223,786,2,492.37,6,0
224,1545,0,636.04,16,0
225,1587,0,56.45,11,0
226,1534,0,171.2,4,1
227,1720,1,343.78,6,0
228,1380,0,66.32,5,0
229,231,0,248.94,5,0
230,859,0,54.59,8,0
231,1755,0,53.02,12,0
232,733,0,91.59,6,0
233,1261,1,763.56,8,0
234,420,1,77.94,13,0
235,1427,0,50.12,13,0
236,93,3,1441.31,9,0
237,1020,1,649.24,7,0
238,75,3,41.57,9,0
239,789,1,37.4,3,0
240,975,2,95.87,7,0
241,259,0,172.3,5,0
242,1703,0,130.18,4,0
243,1296,1,173.17,3,0
244,1634,0,32.69,7,0
245,18,0,131.41,4,0
246,1167,2,473.66,14,0
247,960,0,57.48,6,0
248,73,0,163.95,14,0
249,1135,3,295.3,14,0
250,1175,1,162.84,5,0
251,613,0,240.52,8,0
252,1564,3,123.27,14,1
253,960,1,137.6,8,0
254,151,0,47.79,11,0
255,597,0,109.61,5,0
256,1284,2,613.97,8,0
257,612,1,79.16,11,0
258,1069,0,286.63,4,0
259,890,0,82.99,4,0
260,1673,0,274.35,5,0
261,374,1,176.52,3,1
262,1721,0,69.4,4,0
263,240,0,226.93,6,0
264,1426,0,150.38,6,0
265,1017,1,62.75,7,0
266,1153,0,40.43,5,0
267,1360,0,207.27,12,0
268,336,1,120.85,9,0
269,1148,2,211.22,9,0
270,439,2,105.18,5,0
271,469,1,123.22,3,0
272,690,1,43.59,8,0
273,1835,0,331.81,14,0
274,617,2,80.1,4,0
275,796,0,168.11,9,1
276,393,0,609.65,7,0
277,1557,2,212.44,5,0
278,1742,3,75.53,14,0
279,416,1,57.0,8,0
280,194,0,40.24,8,0
281,1755,0,108.92,5,0
282,868,2,315.32,1,0
283,803,0,72.55,2,0
284,103,0,30.0,6,0
285,62,1,61.23,10,0
286,555,0,422.52,8,0
287,417,2,75.66,6,0
288,1591,0,121.54,7,0
289,397,2,183.57,8,0
290,914,0,373.53,13,1
291,1831,0,110.81,7,1
292,1612,0,77.6,11,0
293,637,0,97.95,6,0
294,1594,0,118.45,4,0
295,1061,2,57.88,6,0
296,415,1,636.3,6,0
297,802,2,267.74,11,0
298,193,3,503.31,9,0
299,945,0,118.44,8,0
300,1847,3,125.22,9,0
301,1710,0,219.59,5,0
302,1878,0,50.94,13,0
303,1430,2,122.99,7,0
304,1096,2,117.25,2,1
305,1494,0,70.04,11,0
306,1459,2,133.72,2,0
307,1625,0,80.11,6,0
308,1479,1,185.18,8,0
309,60,0,143.47,4,1
310,1767,0,30.0,9,0
311,1455,0,145.13,5,0
312,492,2,162.63,7,1
313,1007,0,101.82,5,0
314,113,3,180.54,11,0
315,92,0,193.53,8,0
316,125,1,93.94,11,0
317,1629,0,104.36,5,0
318,778,0,400.83,5,0
319,1400,2,301.74,3,0
320,103,2,71.63,10,0
321,1428,0,151.16,6,1
322,89,2,126.7,6,0
323,604,1,216.77,9,0
324,1593,3,193.17,8,0
325,1076,2,239.06,6,0
326,1198,1,55.95,8,0
327,1273,3,46.63,11,1
328,590,1,168.89,6,0
329,1151,0,566.13,5,0
330,1142,1,83.37,5,0
331,1544,0,54.13,12,0
332,1627,1,76.29,5,0
333,1733,2,215.47,5,0
334,1182,2,42.99,9,0
335,1457,1,157.46,7,0
336,313,1,637.16,10,0
337,800,2,417.38,5,1
338,1731,2,64.56,8,0
339,83,2,100.96,8,0
340,1326,0,168.44,5,0
341,1603,1,164.13,7,0
342,555,0,333.2,3,0
343,854,3,135.26,13,0
344,1698,2,521.33,12,0
345,554,0,229.46,6,0
346,1824,1,189.87,7,0
347,1198,2,162.42,8,0
348,1896,0,45.98,8,0
349,1648,0,121.35,8,0
350,1568,2,109.07,7,0
351,52,1,185.26,9,0
352,138,1,1187.94,6,0
353,2,1,153.32,1,0
354,298,0,172.01,9,0
355,1270,1,72.88,12,0
356,908,1,194.33,5,0
357,1792,2,97.9,6,0
358,1637,1,720.7,4,0
359,1867,2,46.06,5,0
360,1096,1,30.0,6,0
361,245,2,590.64,1,1
362,434,1,69.03,9,0
363,899,0,175.5,5,0
364,1403,2,30.0,5,0
365,846,0,44.81,12,0
366,762,0,128.36,7,0
367,1330,0,211.13,6,0
368,1274,1,51.42,9,0
369,494,0,137.16,13,0
370,701,0,179.47,12,0
371,909,2,113.53,5,0
372,1461,2,38.83,9,0
373,1646,0,106.47,8,0
374,886,2,318.43,12,0
375,1504,0,61.58,7,0
376,1847,0,153.38,7,0
377,731,0,172.35,11,0
378,163,0,452.38,1,0
379,1672,0,133.94,1,0
380,1118,0,103.55,5,1
381,1260,2,35.46,4,0
382,1037,0,67.05,5,0
383,1898,2,36.22,6,0
384,261,1,228.73,9,0
385,75,2,95.34,7,1
386,949,0,30.0,9,0
387,454,1,219.2,3,0
388,19,2,83.48,8,0
389,709,2,42.39,5,0
390,1339,2,149.33,9,0
391,34,0,44.54,5,0
392,1565,1,275.18,8,0
393,853,0,36.22,8,0
394,45,3,202.01,10,0
395,418,0,118.2,7,0
396,1517,3,125.5,12,0
397,1559,0,102.63,8,0
398,670,0,113.12,6,0
399,1330,2,52.13,10,0
400,1395,2,72.86,2,0
401,344,0,102.74,2,0
402,1194,2,201.17,7,0
403,916,0,342.02,9,0
404,819,1,82.15,3,0
405,1071,3,152.74,14,0
406,1231,0,56.77,7,0
407,207,0,55.02,10,0
408,1593,0,208.36,9,0
409,554,0,30.46,4,0
410,683,0,30.17,7,0
411,739,0,30.0,12,0
412,650,1,164.29,8,0
413,522,1,86.38,12,0
414,1365,0,222.69,6,1
415,1206,0,158.75,8,0
416,519,0,223.54,5,0
417,952,0,108.23,9,0
418,1397,3,30.0,11,0
419,1620,0,52.21,4,0
420,210,0,246.5,3,0
