id,passenger_id,flight_id,fare_class
160,851,325,0
161,833,219,2
162,64,89,0
163,839,72,2
164,260,247,0
165,193,129,1
166,655,212,1
167,616,343,0
168,406,96,0
169,726,75,0
170,754,54,1
171,721,344,0
172,93,54,1
173,430,218,0
174,654,16,0
175,434,99,0
176,404,20,0
177,434,46,1
178,112,193,2
179,375,383,1
180,59,58,0
181,43,111,2
182,207,129,1
183,780,337,2
184,296,194,0
185,118,340,0
186,532,326,0
187,222,8,1
188,166,29,0
189,643,112,0
190,156,161,0
191,184,131,1
192,90,188,1
193,94,163,0
194,13,197,0
195,834,364,1
196,805,204,2
197,742,212,1
198,834,109,2
199,804,276,1
200,438,73,1
201,538,167,0
202,587,260,1
203,876,243,1
204,811,275,1
205,150,102,0
206,660,173,0
207,8,171,0
208,29,141,0
209,296,397,0
210,721,188,1
211,640,86,0
212,340,52,0
213,628,111,0
214,439,365,1
215,144,342,0
216,830,43,0
217,747,211,1
218,519,200,0
219,45,298,2
220,239,346,2
221,155,240,0
222,181,115,0
223,215,26,1
224,88,299,0
225,256,77,0
226,511,137,0
227,73,20,2
228,179,211,0
229,212,240,1
230,805,39,1
231,234,268,0
232,465,207,0
233,751,267,2
234,223,154,0
235,631,42,1
236,825,11,0
237,264,294,0
238,207,98,0
239,607,275,0
240,885,390,0
241,734,372,1
242,366,230,0
243,276,369,0
244,380,220,0
245,743,65,1
246,309,355,0
247,631,232,1
248,268,328,0
249,785,52,0
250,64,374,0
251,810,376,1
252,350,263,0
253,494,267,0
254,523,359,0
255,98,317,1
256,71,324,0
257,364,396,0
258,570,154,0
259,802,358,0
260,763,366,1
261,276,140,1
262,50,51,0
263,358,117,0
264,728,46,0
265,564,309,0
266,783,88,0
267,485,208,1
268,84,377,2
269,899,269,2
270,805,89,2
271,638,381,1
272,808,118,1
273,584,54,0
274,296,116,1
275,236,118,0
276,56,260,0
277,360,75,1
278,110,305,0
279,192,7,0
280,93,366,2
281,862,122,0
282,568,11,0
283,60,348,2
284,650,215,1
285,39,279,0
286,540,28,0
287,49,235,0
288,420,367,2
289,637,313,1
290,13,26,0
291,36,54,0
292,101,29,0
293,794,353,2
294,86,164,0
295,516,270,1
296,223,334,0
297,338,35,1
298,166,286,2
299,383,348,1
300,856,273,0
301,895,208,1
302,376,238,1
303,471,93,0
304,790,173,2
305,642,79,1
306,31,110,2
307,375,217,1
308,11,358,0
309,302,106,0
310,96,47,0
311,190,181,2
312,453,64,1
313,192,246,1
314,486,244,0
315,266,320,0
316,424,87,1
317,128,217,0
318,238,7,0
319,355,278,1
320,112,337,0
321,828,210,0
322,446,169,0
323,343,330,0
324,145,138,2
325,65,391,0
326,247,381,0
327,735,306,0
328,490,230,1
329,825,308,0
330,439,161,1
331,106,1,0
332,181,236,0
333,184,188,0
334,226,4,1
335,777,132,2
336,790,218,0
337,89,260,0
338,688,1,2
339,530,71,0
340,371,178,1
341,399,189,0
342,106,291,2
343,271,8,1
344,831,253,2
345,503,292,1
346,679,244,0
347,525,123,2
348,849,299,0
349,32,283,0
350,393,32,1
351,40,334,1
352,660,377,2
353,218,146,0
354,731,156,1
355,82,16,1
356,845,355,0
357,720,47,0
358,201,251,0
359,447,187,0
360,844,31,2
361,428,260,1
362,38,17,1
363,211,39,2
364,444,304,0
365,327,39,1
366,761,132,0
367,227,30,2
368,48,158,0
369,18,278,2
370,439,203,0
371,807,66,0
372,708,108,1
373,187,268,0
374,345,222,1
375,224,292,0
376,830,18,1
377,488,90,0
378,877,181,0
379,849,255,0
380,229,253,0
381,390,257,0
382,589,383,0
383,188,346,0
384,858,87,0
385,270,90,1
386,607,237,2
387,310,390,0
388,132,70,1
389,551,44,1
390,72,200,0
391,793,152,1
392,845,86,0
393,672,19,0
394,187,101,0
395,486,95,1
396,191,254,1
397,422,357,0
398,120,30,0
399,220,249,2
400,53,33,0
401,734,229,0
402,451,12,2
403,412,118,1
404,643,350,1
405,237,155,1
406,758,393,2
407,738,246,0
408,720,332,0
409,406,247,0
410,608,29,2
411,422,161,1
412,712,235,0
413,247,190,2
414,72,117,0
415,830,271,0
416,185,258,0
417,6,180,0
418,206,373,2
419,544,172,0
420,611,274,1
421,387,259,1
422,768,135,0
423,699,171,2
424,76,210,0
425,177,236,0
426,827,186,0
427,799,364,2
428,349,95,0
429,255,378,0
430,837,11,0
431,702,68,0
432,308,379,1
433,345,210,0
434,127,196,0
435,287,369,0
436,766,98,0
437,725,93,2
438,762,22,0
439,596,172,2
440,487,383,0
441,383,134,0
442,406,25,2
443,388,185,0
444,525,85,1
445,557,55,2
446,639,251,0
447,626,144,0
448,276,351,1
449,500,398,0
450,717,167,0
451,337,224,0
452,481,220,0
453,897,179,1
454,273,119,0
455,58,265,0
456,328,150,1
457,731,215,0
458,109,197,0
459,279,42,1
460,686,53,0
461,328,330,1
462,776,251,2
463,315,295,0
464,474,378,0
465,111,271,0
466,699,123,0
467,781,367,2
468,229,387,2
469,497,339,0
470,156,266,1
471,473,348,2
472,701,29,2
473,272,35,0
474,887,6,0
475,2,396,0
476,758,111,2
477,722,294,0
478,511,77,1
479,286,349,0
480,871,147,0
481,13,67,0
482,608,392,2
483,498,8,0
484,733,122,1
485,238,340,0
486,94,175,0
487,338,388,0
488,781,179,0
489,171,85,0
490,606,45,0
491,661,136,0
492,624,343,0
493,567,16,2
494,849,333,2
495,467,195,0
496,628,9,1
497,143,316,2
498,201,334,0
499,180,333,1
500,714,327,2
501,364,15,0
502,479,327,0
503,565,102,2
504,471,226,0
505,384,278,0
506,692,113,0
507,417,1,0
508,825,266,1
509,308,208,1
510,649,110,2
511,694,200,0
512,367,369,0
513,1,306,0
514,44,12,0
515,739,345,0
516,843,188,2
517,98,154,2
518,720,368,0
519,265,334,1
520,800,377,0
521,783,279,0
522,140,171,1
523,481,134,0
524,237,25,2
525,72,18,1
526,667,190,0
527,190,141,1
528,268,43,0
529,321,334,0
530,107,284,0
531,232,146,0
532,42,315,1
533,702,319,0
534,883,92,1
535,139,179,1
536,615,56,0
537,683,155,1
538,863,160,0
539,273,111,0
540,481,137,0
541,416,232,0
542,506,220,0
543,733,68,1
544,725,302,0
545,853,249,0
546,424,323,2
547,407,392,1
548,568,6,2
549,390,280,0
550,342,94,1
551,614,269,2
552,493,197,1
553,192,25,1
554,499,148,0
555,822,118,0
556,712,338,0
557,233,367,0
558,227,338,2
559,371,66,0
560,139,301,2
561,856,370,2
562,817,175,0
563,149,319,0
564,115,76,2
565,450,114,2
566,63,111,0
567,104,249,0
568,851,203,0
569,871,147,1
570,668,35,0
571,273,309,1
572,6,26,0
573,147,238,0
574,184,14,0
575,28,374,0
576,550,45,0
577,119,216,0
578,293,233,0
579,371,193,0
580,244,51,0
581,580,375,2
582,726,214,0
583,218,151,0
584,177,275,1
585,299,338,2
586,676,76,0
587,58,220,1
588,269,348,1
589,308,187,1
590,570,289,0
591,288,28,1
592,105,379,0
593,228,180,1
594,247,253,1
595,700,126,0
596,494,177,1
597,83,37,0
598,186,99,1
599,252,98,0
600,355,127,0
601,750,168,0
602,872,80,2
603,696,294,0
604,796,333,0
605,897,126,0
606,210,343,1
607,816,310,0
608,808,150,0
609,609,16,0
610,447,28,0
611,460,173,0
612,472,46,0
613,720,328,1
614,370,236,0
615,900,214,0
616,492,85,0
617,137,282,2
618,367,232,2
619,184,85,1
620,588,65,0
621,287,134,0
622,472,151,0
623,375,115,0
624,654,64,0
625,749,343,1
626,537,363,2
627,511,352,1
628,802,158,0
629,579,77,1
630,250,146,0
631,510,343,0
632,630,225,1
633,73,313,0
634,282,103,0
635,360,347,0
636,10,301,1
637,211,88,1
638,835,371,0
639,152,303,1
640,5,168,0
641,195,170,0
642,283,135,1
643,464,50,1
644,113,340,2
645,271,347,0
646,163,134,1
647,460,347,1
648,105,137,2
649,693,245,0
650,556,109,1
651,282,313,1
652,687,287,0
653,162,21,0
654,351,90,0
655,434,296,1
656,852,112,2
657,140,301,1
658,471,77,1
659,132,177,0
660,87,343,0
661,688,148,0
662,183,101,0
663,368,246,0
664,129,117,0
665,246,92,0
666,601,28,0
667,578,25,0
668,670,58,0
669,899,297,0
670,378,134,2
671,149,331,2
672,852,249,1
673,433,38,0
674,628,390,1
675,726,75,1
676,469,142,1
677,446,322,0
678,481,168,1
679,884,259,1
680,294,373,1
681,765,355,1
682,143,225,0
683,250,152,0
684,878,19,0
685,302,146,1
686,25,241,0
687,789,372,0
688,889,381,0
689,890,344,0
690,70,237,0
691,625,35,1
692,875,190,1
693,112,1,0
694,364,153,0
695,303,126,0
696,471,345,2
697,91,400,0
698,530,226,0
699,661,221,0
700,739,211,1
701,726,25,2
702,872,16,1
703,663,182,1
704,192,329,0
705,552,129,0
706,242,42,0
707,138,336,0
708,345,236,0
709,180,360,0
710,712,34,0
711,503,345,2
712,203,381,1
713,573,45,1
714,192,134,1
715,5,21,0
716,890,122,1
717,237,70,0
718,693,352,1
719,311,361,0
720,549,48,2
721,56,39,0
722,443,287,0
723,237,10,2
724,870,30,0
725,861,244,1
726,197,274,1
727,585,88,1
728,571,244,2
729,752,381,2
730,514,329,0
731,449,15,1
732,360,4,1
733,700,191,1
734,819,168,0
735,30,9,1
736,779,109,2
737,108,137,2
738,844,154,0
739,602,388,0
740,717,209,0
741,891,272,1
742,445,143,1
743,893,99,0
744,438,377,0
745,732,308,0
746,890,69,0
747,606,247,2
748,457,261,1
749,615,276,0
750,735,79,0
751,698,146,0
752,696,111,2
753,495,258,0
754,674,93,0
755,247,13,0
756,543,260,1
757,564,109,1
758,857,330,1
759,588,189,0
760,897,95,0
761,439,105,0
762,278,8,1
763,552,67,0
764,613,191,1
765,111,366,2
766,385,256,2
767,833,9,0
768,761,117,0
769,191,267,0
770,490,99,1
771,694,298,1
772,426,397,0
773,405,164,0
774,335,376,1
775,209,141,2
776,22,268,0
777,678,37,1
778,611,74,0
779,208,73,0
780,8,308,2
781,702,199,1
782,687,130,1
783,785,246,0
784,529,312,1
785,602,60,0
786,653,279,0
787,657,103,0
788,166,296,0
789,849,320,1
790,496,341,1
791,590,151,0
792,429,157,0
793,774,206,0
794,163,179,0
795,366,197,1
796,526,223,1
797,239,89,0
798,72,287,0
799,445,276,1
800,655,236,1
801,822,183,0
802,509,209,0
803,795,130,1
804,269,153,0
805,753,13,0
806,415,122,1
807,245,359,1
808,675,220,1
809,60,106,1
810,6,375,1
811,709,70,0
812,570,195,0
813,817,186,0
814,407,99,0
815,217,82,1
816,26,75,2
817,815,374,2
818,5,340,1
819,532,192,0
820,390,325,0
821,710,214,1
822,571,315,1
823,448,382,1
824,754,367,1
825,146,318,1
826,388,144,1
827,785,384,0
828,249,216,1
829,526,361,2
830,462,324,0
831,13,15,1
832,384,217,0
833,556,35,2
834,887,183,0
835,399,270,1
836,19,358,0
837,575,100,1
838,491,7,0
839,751,30,0
840,419,305,0
841,337,144,2
842,419,111,0
843,612,232,0
844,675,179,1
845,122,72,0
846,432,210,2
847,44,220,0
848,872,80,1
849,317,83,0
850,381,42,0
851,145,273,1
852,327,191,1
853,363,173,1
854,50,7,0
855,65,155,0
856,355,10,0
857,800,34,2
858,164,36,0
859,141,6,0
860,826,215,0
861,128,134,1
862,398,285,0
863,880,126,2
864,463,337,0
865,751,174,2
866,836,152,0
867,808,331,1
868,187,26,2
869,720,383,0
870,732,115,2
871,190,382,0
872,388,284,2
873,429,387,1
874,858,75,0
875,284,166,0
876,864,189,0
877,237,78,0
878,194,90,0
879,287,176,0
880,771,21,0
881,758,54,1
882,136,184,0
883,792,359,0
884,783,222,1
885,171,315,0
886,159,328,0
887,201,179,0
888,487,276,2
889,557,112,1
890,776,224,0
891,583,214,1
892,504,59,0
893,876,327,1
894,371,393,1
895,103,109,1
896,125,385,0
897,313,157,0
898,798,191,0
899,458,200,2
900,230,312,1
901,658,196,1
902,882,35,2
903,197,379,0
904,885,387,1
905,733,246,1
906,423,237,2
907,572,104,2
908,610,7,1
909,171,283,0
910,382,1,1
911,173,219,0
912,663,230,1
913,453,172,2
914,350,87,0
915,634,41,1
916,494,123,0
917,620,331,0
918,4,298,0
919,93,373,1
920,6,178,2
921,288,63,2
922,618,165,0
923,146,187,2
924,783,383,1
925,424,209,0
926,890,227,0
927,608,389,0
928,457,48,2
929,741,224,1
930,202,3,1
931,212,372,0
932,6,175,1
933,624,99,0
934,376,116,0
935,891,270,1
936,447,368,0
937,835,253,1
938,106,317,0
939,651,95,1
940,811,273,0
941,401,380,1
942,96,24,0
943,388,116,0
944,452,151,2
945,849,338,0
946,809,50,1
947,416,206,2
948,726,335,0
949,504,79,0
950,454,70,1
951,291,27,2
952,534,271,2
953,193,50,0
954,150,292,1
955,880,247,0
956,759,264,2
957,779,79,2
958,763,387,0
959,515,190,0
960,393,47,0
961,316,361,0
962,76,354,1
963,599,352,0
964,270,189,0
965,225,256,0
966,530,222,2
967,113,372,1
968,251,241,0
969,233,269,0
970,841,1,2
971,791,34,1
972,714,79,0
973,83,236,0
974,125,334,0
975,175,377,0
976,69,349,1
977,47,98,2
978,884,82,0
979,256,192,1
980,727,253,0
981,30,38,1
982,281,14,1
983,237,392,0
984,248,347,0
985,368,310,1
986,495,386,0
987,25,209,0
988,586,357,0
989,718,89,2
990,490,56,0
991,494,94,1
992,314,93,0
993,606,340,1
994,375,85,1
995,639,245,2
996,25,22,0
997,334,291,1
998,355,272,1
999,116,306,0
1000,48,122,0
1001,738,128,0
1002,778,113,0
1003,99,273,2
1004,459,336,0
1005,523,130,0
1006,597,132,1
1007,405,85,0
1008,214,350,0
1009,685,390,0
1010,503,81,2
1011,721,325,2
1012,448,69,2
1013,894,148,0
1014,576,16,1
1015,258,307,0
1016,844,105,0
1017,121,165,0
1018,810,201,1
1019,54,197,0
1020,331,185,0
1021,784,322,0
1022,241,265,0
1023,755,363,1
1024,530,100,0
1025,483,342,1
1026,187,320,0
1027,858,214,1
1028,656,278,1
1029,262,162,0
1030,364,157,0
1031,491,251,1
1032,431,366,1
1033,239,97,0
1034,304,18,0
1035,298,327,2
1036,76,383,1
1037,700,97,0
1038,333,1,0
1039,900,216,0
1040,758,132,1
1041,642,260,0
1042,474,125,2
1043,827,82,0
1044,283,283,0
1045,591,171,1
1046,72,59,2
1047,263,32,1
1048,703,161,0
1049,879,284,1
1050,887,106,1
1051,575,105,0
1052,892,228,0
1053,12,188,0
1054,141,70,0
1055,766,318,2
1056,555,290,0
1057,17,87,2
1058,63,370,0
1059,253,362,1
1060,465,56,0
1061,376,113,0
1062,804,13,0
1063,520,18,0
1064,837,182,1
1065,90,113,0
1066,720,229,1
1067,804,171,0
1068,796,295,0
1069,630,189,0
1070,861,79,2
1071,175,146,1
1072,76,182,0
1073,613,286,0
1074,663,250,0
1075,400,354,2
1076,782,314,1
1077,71,196,0
1078,180,323,1
1079,124,71,0
1080,381,248,2
1081,293,146,0
1082,797,106,1
1083,195,263,0
1084,228,296,1
1085,431,70,1
1086,436,193,1
1087,787,68,1
1088,461,305,2
1089,618,52,0
1090,21,370,0
1091,64,363,0
1092,165,285,2
1093,27,334,0
1094,311,9,1
1095,285,251,1
1096,660,332,0
1097,281,298,0
1098,838,184,0
1099,831,179,0
1100,164,198,0
1101,898,128,0
1102,224,20,2
1103,784,328,2
1104,146,65,0
1105,868,182,0
1106,30,241,0
1107,45,369,1
1108,787,24,1
1109,471,384,0
1110,34,83,0
1111,653,319,1
1112,427,185,1
1113,830,316,0
1114,886,99,1
1115,221,62,0
1116,868,286,0
1117,534,22,1
1118,692,212,1
1119,367,126,0
1120,841,42,2
1121,743,98,0
1122,550,31,1
1123,582,158,0
1124,116,112,2
1125,239,247,2
1126,335,122,0
1127,441,273,2
1128,148,294,1
1129,9,398,1
1130,288,207,0
1131,388,110,1
1132,50,278,2
1133,850,56,0
1134,517,375,2
1135,855,57,0
1136,638,291,0
1137,587,114,0
1138,677,381,1
1139,278,385,1
1140,836,308,0
1141,300,341,2
1142,802,198,0
1143,589,321,0
1144,810,179,0
1145,649,385,1
1146,618,219,2
1147,607,277,1
1148,135,16,1
1149,580,379,0
1150,147,61,0
1151,490,54,0
1152,478,168,0
1153,159,26,0
1154,384,336,1
1155,163,65,0
1156,441,100,1
1157,853,74,0
1158,189,192,0
1159,415,171,1
1160,339,273,0
1161,607,377,2
1162,181,187,1
1163,288,23,0
1164,834,391,2
1165,187,181,0
1166,884,327,0
1167,138,108,1
1168,130,335,0
1169,194,162,1
1170,316,302,1
1171,785,206,2
1172,864,78,0
1173,144,16,0
1174,16,327,1
1175,302,96,0
1176,423,147,0
1177,245,2,0
1178,107,10,0
1179,88,125,0
1180,129,81,2
1181,887,140,2
1182,341,326,0
1183,4,150,0
1184,327,288,0
1185,410,361,2
1186,879,340,0
1187,306,129,1
1188,607,239,0
1189,721,58,1
1190,225,198,0
1191,348,211,1
1192,321,390,0
1193,559,45,1
1194,181,97,0
1195,618,279,1
1196,711,23,2
1197,386,391,0
1198,618,335,2
1199,792,44,1
1200,772,27,0
