id,distance,airline_code,is_delayed
96,280.4727577801822,1,1
97,544.4180415596865,2,0
98,539.1582908269834,2,1
99,500.76701849636913,2,0
100,464.811929993728,2,0
101,287.6943886924379,2,1
102,436.90320158519614,0,0
103,448.59282252098456,2,0
104,379.6584096167572,2,1
105,475.80714325009865,2,0
106,560.6076285221808,2,0
107,782.9278851815795,1,1
108,526.1866719247759,0,1
109,538.6325586084147,2,0
110,488.83311263507494,2,0
111,212.18431770514377,2,1
112,496.02291868261744,0,1
113,509.034531491154,1,0
114,869.4863168727929,0,1
115,471.14585528283163,1,0
116,545.2321013500418,2,0
117,494.7932345442135,2,0
118,324.69829435707015,0,0
119,671.4234221772531,0,0
120,612.7899549030161,1,1
121,618.654792056457,1,1
122,363.59188178078915,0,1
123,710.4191466404149,1,1
124,289.7223405811579,0,0
125,588.0285640700406,1,0
126,828.5683438714968,0,0
127,351.41955123039673,0,0
128,415.05534055958424,0,1
129,514.9477047631461,1,0
130,424.47865188257015,1,0
131,267.4004853400801,1,1
132,510.2844462209041,0,1
133,340.65444294108426,1,1
134,571.0388645952772,1,1
135,362.0863648649295,0,0
136,732.4901607526309,2,0
137,382.51200614956446,0,1
138,451.69077256914863,1,0
139,622.0275826054504,0,0
140,315.3703525349067,2,0
141,534.1189901906195,0,1
142,696.0714131423642,1,0
143,258.87751481581586,2,1
144,527.6950787798456,1,0
145,538.9824191372635,2,0
146,617.2734307665966,2,0
147,314.45739336828774,0,1
148,301.9315080373585,0,0
149,578.2912348425347,1,1
150,544.547700984978,0,1
151,537.5739275518815,0,1
152,551.9672314245463,2,0
153,397.9962917632264,0,0
154,534.8380545741505,2,0
155,543.9608709948022,2,0
156,392.84728729604484,2,1
157,779.8661766717134,1,1
158,571.0749381367681,1,1
159,321.3044754196027,1,0
160,598.4830412950745,2,1
161,353.7977494659018,1,0
162,618.0626905613678,1,1
163,673.7893368511106,0,0
164,376.8976522472434,1,0
165,644.5064193866483,1,1
166,561.9171390404747,2,1
167,623.3090239991735,2,1
168,784.5189473980921,2,1
169,463.1917825995694,2,0
170,386.93957534637656,2,1
171,366.5728355561715,2,1
172,377.62845725518423,1,1
173,488.4347435878844,2,0
174,551.1727962224966,2,0
175,541.5036198995028,0,1
176,624.0774873554036,1,0
177,501.95028378168604,1,1
178,718.0301115735975,1,0
179,460.30147501430656,2,0
180,908.0253749884428,2,0
181,593.850102164751,2,0
182,371.4263665375576,0,1
183,339.36612529083317,2,1
184,572.3708622864777,0,1
185,466.4805822011224,1,0
186,607.1000741138138,2,1
187,570.9856436860317,0,1
188,489.0756631014691,0,1
189,372.98094228973923,2,0
190,272.77291629712033,1,0
191,433.02275718994684,1,0
192,628.4598191485209,1,1
193,532.1140616195306,0,1
194,313.1391831932018,0,1
195,525.9771388776772,0,0
196,557.7976069593255,0,0
197,367.42138456983,1,1
198,523.0587658918292,2,0
199,508.7313077669,0,0
200,328.55445532540654,0,0
201,553.6681040522425,1,0
202,584.1176789552352,2,1
203,662.4576864762915,2,0
204,658.0703078052354,1,0
205,293.34959480643636,1,0
206,359.3262440127316,2,0
207,577.255290081299,0,1
208,577.0678926368313,2,1
209,577.2571529459071,1,0
210,1077.909723598208,0,0
211,585.633576603975,0,0
212,670.3348460270898,1,0
213,643.1002645239803,1,0
214,597.7086876958697,1,0
215,452.7096133039482,2,1
216,613.8453830739901,2,0
217,384.0762178193642,0,1
218,464.47720898899865,1,1
219,427.19546782563447,0,0
220,512.2811209079484,0,1
221,847.1987850010263,0,1
222,219.91022111123777,0,1
223,602.939028556177,1,1
224,258.09261932155226,0,1
225,429.21022013158495,1,1
226,663.3425895451049,1,0
227,509.6420028643194,2,1
228,338.3382833106041,1,1
229,392.70444361100476,2,1
230,601.9396623402014,1,0
231,390.4450052424295,1,1
232,532.4687884372962,1,0
233,506.83577598557207,2,1
234,402.25994785912746,2,0
235,821.5916133987989,0,0
236,595.0878533477016,2,1
237,196.22861200135895,2,1
238,527.9681472154141,2,0
239,400.73203028474177,2,1
240,627.8650002194336,0,0
241,381.1218892350949,2,0
242,482.78953377996515,1,0
243,575.7480918470685,1,0
244,629.8632791255183,2,0
245,319.95553894163356,2,1
246,449.8248146238577,1,0
247,428.7582033258566,1,0
248,402.00061511394324,0,1
249,764.8181360421645,1,0
250,560.7472566441434,1,1
251,310.86740684974325,2,1
252,637.6792920582164,1,1
253,818.3234295518951,0,0
254,654.869789082672,1,0
255,272.094505106898,2,0
256,427.3648890700623,2,1
257,690.0366723779935,1,0
258,393.8495801571829,2,1
259,566.5729142219343,0,0
260,616.1951080144005,0,1
261,360.96042926328755,1,0
262,491.07119659073,1,0
263,13.809898989639123,1,0
264,346.3418537998565,2,1
265,462.114777291026,0,1
266,312.8325227052726,0,0
267,744.8616955897453,2,0
268,285.4787933059051,0,1
269,433.99332699545243,1,1
270,519.6110865929137,1,1
271,716.1909933599173,1,0
272,284.6206773230841,0,1
273,674.4745628232439,1,0
274,501.53495915293803,2,1
275,352.7737023428074,2,0
276,569.3155211394906,0,1
277,529.8589543360205,2,1
278,409.9674684261808,2,1
279,510.47031274850286,0,1
280,442.20296047073595,1,1
281,517.0276017876872,1,0
282,599.319601178157,1,1
283,737.9025224218028,0,1
284,314.3276751759727,2,1
285,819.9550061984401,1,0
286,207.18683007162474,1,1
287,477.2322357446625,0,0
288,588.2475809726865,1,1
289,542.1487801602549,0,1
290,406.59507202691094,2,0
291,468.78166244640875,0,1
292,426.0498598011751,0,0
293,411.59528645836826,0,0
294,627.4403145531537,0,1
295,553.5523228947571,2,0
296,396.06356071090187,2,1
297,634.9399813149876,1,1
298,546.0949281314914,2,0
299,621.929317825844,2,0
300,594.4443262885418,1,0
301,375.6507483616891,2,0
302,415.97284397045456,0,1
303,612.0940407684893,0,1
304,591.5555398150198,1,0
305,496.8647609053778,1,1
306,517.5991074963173,1,1
307,691.6497343682637,0,1
308,411.2642916746255,2,1
309,582.0646071755057,0,0
310,469.6711021349159,1,0
311,467.34781951591697,2,1
312,664.8165277980785,2,0
313,623.8124523482045,0,0
314,622.0264454000958,1,0
315,695.8218210731493,0,1
316,503.15057624491385,2,1
317,602.2929456942446,0,1
318,453.4599865109816,0,0
319,548.6249528732664,1,1
320,480.4785418448473,1,1
321,514.5493947489077,2,0
322,589.2735538155371,0,1
323,377.2668975149791,0,1
324,813.858091352819,0,0
325,349.0973927750447,2,0
326,317.8717080818402,2,0
327,673.7166310250102,1,1
328,618.7494040944404,1,1
329,593.6179725578232,1,1
330,594.251826389642,0,0
331,498.1629840729628,0,0
332,365.4118442771253,1,1
333,511.37068372905895,0,1
334,398.42574327318323,1,0
335,646.2679600126627,2,0
336,477.94139277467923,1,0
337,376.1754204811233,2,0
338,451.792123752051,0,1
339,561.9397181413436,1,0
340,415.4413170794038,0,1
341,376.66694066503527,2,1
342,536.5530817237868,2,1
343,536.7449856663084,2,0
344,423.95852369433055,0,0
345,429.3442541572516,0,0
346,534.8074906036454,0,0
347,282.78734877540137,0,1
348,288.8804338435167,2,0
349,392.2333668121346,2,0
350,467.9829272432229,1,1
351,546.6361348397007,1,0
352,721.3034325424328,0,1
353,628.6489434803029,2,1
354,476.0092205054859,2,1
355,497.1475688145967,2,1
356,349.6205953043287,1,1
357,497.2230296011415,1,1
358,456.70120416197926,2,1
359,548.4077840507134,2,1
360,375.9153584671516,2,0
361,577.9019771361759,1,0
362,729.9108369503866,2,0
363,483.6859777314714,2,0
364,560.2567583148412,0,1
365,603.5215987566669,0,0
366,439.81692921712454,1,1
367,533.6138722715625,2,0
368,501.88886011726925,2,0
369,514.6514147823248,0,0
370,384.04853242168,1,1
371,503.6765261388414,0,0
372,574.6997436868174,0,1
373,717.6715411692562,0,1
374,643.890623912781,0,0
375,822.9773686267334,2,0
376,384.8978655667926,2,0
377,630.8480955081018,0,1
378,527.5013008607527,1,0
379,828.4704399826508,1,1
380,378.75525719672726,1,1
381,374.04172367288356,1,0
382,410.0911031833967,0,0
383,181.41564135352894,2,1
384,421.1367467478858,1,1
385,386.1301007669453,0,1
386,522.5590679714311,1,0
387,551.2633963665739,1,1
388,781.425625882383,0,0
389,642.5635757279075,2,1
390,413.46445165063955,2,1
391,365.2377992977463,0,0
392,573.7878757259758,2,1
393,301.9650189469037,0,0
394,774.7188148781531,0,0
395,676.916018108193,0,1
396,429.6236521842943,2,0
397,243.02982063636836,0,0
398,703.0808561248119,1,1
399,482.8190232121073,2,0
400,685.6724467960192,2,0
